abbreviation, officialName, equation, subSystem, proteinClass, proteinGeneAssociation, geneAssociation, proteinAssociation
"DESAT18_2","Oleoyl-CoA desaturase (n-C18:1CoA -> n-C18:2CoA)","[c] : h + nadph + o2 + odecoa --> (2) h2o + nadp + ocdycacoa","Fatty Acid  Biosynthesis","1.14.19.1","","",""
"DGDPtn","dGDP nuclear transport","dgdp[c] <==> dgdp[n]","Transport, Nuclear","","","",""
"DGGH","alpha-D-glucoside glucohydrase","[c] : 6dg + h2o --> gal + glc-D","Galactose metabolism","","Fsp2 (YJL221C) ","YJL221C","Fsp2"
"DGK1","deoxyguanylate kinase (dGMP:ATP)","[c] : atp + dgmp <==> adp + dgdp","Purine and Pyrimidine Biosynthesis","2.7.4.8","Guk1.1 (YDR454C) ","YDR454C","Guk1.1"
"DGSNt2","deoxyguanosine transport in via proton symport","dgsn[e] + h[e] --> dgsn[c] + h[c]","Transport, Extracellular","","","",""
"DHAD1m","dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate), mitochondrial","[m] : 23dhmb --> 3mob + h2o","Valine, Leucine, and Isoleucine Metabolism","4.2.1.9","Ilv3-m (YJR016C) ","YJR016C","Ilv3-m"
"DHAD2m","dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate), mitochondrial","[m] : 23dhmp --> 3mop + h2o","Valine, Leucine, and Isoleucine Metabolism","","Ilv3-m (YJR016C) ","YJR016C","Ilv3-m"
"DHAK","dihydroxyacetone kinase","[c] : atp + dha --> adp + dhap + h","Glycerolipid Metabolism","2.7.1.29","( Dak1 (YML070W)  ) or ( Dak2 (YFL053W)  )","( YML070W  or  YFL053W )","( Dak1 ) or ( Dak2 )"
"DHAPtm","dihydroxyacetone phosphate transport, mitochondrial","dhap[m] --> dhap[c]","Transport, Mitochondrial","","","",""
"DHFRi","dihydrofolate reductase (irreversible)","[c] : dhf + h + nadph --> nadp + thf","Folate Metabolism","1.5.1.3","Dfr1 (YOR236W) ","YOR236W","Dfr1"
"DHFRim","dihydrofolate reductase, mitochondrial","[m] : dhf + h + nadph --> nadp + thf","Folate Metabolism","1.5.1.3","Dfr1-m (YOR236W) ","YOR236W","Dfr1-m"
"DHFS","dihydrofolate synthase","[c] : atp + dhpt + glu-L --> adp + dhf + h + pi","Folate Metabolism","6.3.2.12","","",""
"DHFtm","dihydrofolate reversible mitochondrial transport","dhf[c] <==> dhf[m]","Transport, Mitochondrial","","","",""
"DHNPAm","dihydroneopterin aldolase","[m] : dhnpt --> 2ahhmp + gcald + h","Folate Metabolism","4.1.2.25","Fol1-m (YNL256W) ","YNL256W","Fol1-m"
"DHNPTtm","dhnpt mitochondrial transport","dhnpt[c] <==> dhnpt[m]","Transport, Mitochondrial","","","",""
"DHORD4i","dihydoorotic acid (ubiquinone-6), irreversible","dhor-S[c] + q6[m] --> orot[c] + q6h2[m]","Purine and Pyrimidine Biosynthesis","1.3.3.1","Ura1 (YKL216W) ","YKL216W","Ura1"
"DHORDfum","Fumarate dependent DHORD","[c] : dhor-S + fum --> orot + succ","Purine and Pyrimidine Biosynthesis","","Ura1 (YKL216W) ","YKL216W","Ura1"
"DHORDi","dihydoorotic acid dehydrogenase (irreversible)","[c] : dhor-S + o2 --> h2o2 + orot","Purine and Pyrimidine Biosynthesis","1.3.3.1","Ura1 (YKL216W) ","YKL216W","Ura1"
"DHORTS","dihydroorotase","[c] : dhor-S + h2o <==> cbasp + h","Purine and Pyrimidine Biosynthesis","3.5.2.3","( Ura4 (YLR420W)  ) or ( Ura2 (YJL130C)  )","( YLR420W  or  YJL130C )","( Ura4 ) or ( Ura2 )"
"DHPSm","dihydropteroate synthase, mitochondrial","[m] : 2ahhmp + 4abz --> dhpt + h2o","Folate Metabolism","2.5.1.15","Fol1-m (YNL256W) ","YNL256W","Fol1-m"
"DHPTtm","Dihydropteroate mitochondrial transport via diffusion","dhpt[c] <==> dhpt[m]","Transport, Mitochondrial","","","",""
"DHQS","3-dehydroquinate synthase","[c] : 2dda7p --> 3dhq + pi","Tyrosine, Tryptophan, and Phenylalanine Metabolism","4.2.3.4","Aro1 (YDR127W) ","YDR127W","Aro1"
"DHQTi","3-dehydroquinate dehydratase, irreversible","[c] : 3dhq --> 3dhsk + h2o","Tyrosine, Tryptophan, and Phenylalanine Metabolism","4.2.1.10","Aro1 (YDR127W) ","YDR127W","Aro1"
"DIAT","diamine transaminase","[c] : accoa + sprm --> N1sprm + coa + h","Tyrosine, Tryptophan, and Phenylalanine Metabolism","2.6.1.29","","",""
"DINSt2","deoxyinosine transport in via proton symport","din[e] + h[e] --> din[c] + h[c]","Transport, Extracellular","","","",""
"DIPS","diphthine synthase","[c] : amet + caphis --> ahcys + cmaphis + h","Methionine Metabolism","2.1.1.98","Dph5 (YLR172C) ","YLR172C","Dph5"
"DKMPPD2","2,3-diketo-5-methylthio-1-phosphopentane degradation reaction","[c] : dkmpp + (3) h2o --> 2kmb + for + (6) h + pi","Methionine Metabolism","","( Adi1 (YMR009W)  and Utr4 (YEL038W)  )","( YMR009W  and  YEL038W )","( Adi1 and Utr4 )"
"DMATT","dimethylallyltranstransferase","[c] : dmpp + ipdp --> grdp + ppi","Sterol Metabolism","2.5.1.1","Erg20 (YJL167W) ","YJL167W","Erg20"
"DNMPPA","Dihydroneopterin monophosphate dephosphorylase","[c] : dhpmp + h2o --> dhnpt + pi","Folate Metabolism","","Arr4 (YDL100C) ","YDL100C","Arr4"
"DNTPPA","Dihydroneopterin triphosphate pyrophosphatase","[c] : ahdt + h2o --> dhpmp + h + ppi","Folate Metabolism","","","",""
"DOLK","Dolichol kinase","[c] : ctp + dolichol --> cdp + dolp + h","Glycoprotein Metabolism","2.7.1.108","Sec59 (YMR013C) ","YMR013C","Sec59"
"DOLPMMer","Dolichyl-phosphate-mannose--protein mannosyltransferase, endoplasmic reticular","[r] : dolmanp --> dolp + h + mannan","Glycoprotein Metabolism","2.4.1.109","( Pmt1-er (YDL095W)  and Pmt2-er (YAL023C)  ) or ( Pmt3-er (YOR321W)  ) or ( Pmt4-er (YJR143C)  ) or ( Pmt5-er (YDL093W)  ) or ( Pmt6-er (YGR199W)  )","( ( YDL095W  and  YAL023C )  or  YOR321W  or  YJR143C  or  YDL093W  or  YGR199W )","( Pmt1-er and Pmt2-er ) or ( Pmt3-er ) or ( Pmt4-er ) or ( Pmt5-er ) or ( Pmt6-er )"
"DOLPMTcer","Dolichyl-phosphate D-mannosyltransferase","dolp[c] + gdpmann[c] --> dolmanp[r] + gdp[c]","Glycoprotein Metabolism","2.4.1.83","Dpm1 (YPR183W) ","YPR183W","Dpm1"
"DOLPt2er","dolichol phosphate endoplasmic reticular transport via proton symport","dolp[c] + h[c] <==> dolp[r] + h[r]","Transport, Endoplasmic Reticular","","","",""
"DPCOAK","dephospho-CoA kinase","[c] : atp + dpcoa --> adp + coa + h","Pantothenate and CoA Biosynthesis","2.7.1.24","","",""
"DPCOAKm","dephospho-CoA kinase, mitochondrial","[m] : atp + dpcoa --> adp + coa + h","Pantothenate and CoA Biosynthesis","2.7.1.24","","",""
"DPGM","Diphosphoglyceromutase","[c] : 13dpg <==> 23dpg + h","Glycolysis/Gluconeogenesis","","Gpm1 (YKL152C) ","YKL152C","Gpm1"
"DPMVD","diphosphomevalonate decarboxylase","[c] : 5dpmev + atp --> adp + co2 + ipdp + pi","Sterol Metabolism","4.1.1.33","Mvd1 (YNR043W) ","YNR043W","Mvd1"
"DPR","2-dehydropantoate 2-reductase","[c] : 2dhp + h + nadph --> nadp + pant-R","Pantothenate and CoA Biosynthesis","1.1.1.169","Pan5 (YHR063C) ","YHR063C","Pan5"
"DPRm","2-dehydropantoate 2-reductase, mitochondrial","[m] : 2dhp + h + nadph --> nadp + pant-R","Pantothenate and CoA Biosynthesis","1.1.1.169","Ilv5-m (YLR355C) ","YLR355C","Ilv5-m"
"DRBK","Deoxyribokinase","[c] : atp + drib --> 2dr5p + adp + h","Pentose Phosphate Pathway","2.7.1.15","Rbk1 (YCR036W) ","YCR036W","Rbk1"
"DROPPRy","2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (nadph)","[c] : 25dhpp + h + nadph --> 25dthpp + nadp","Riboflavin Metabolism","","Rib7 (YBR153W) ","YBR153W","Rib7"
"DRTPPD","2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase","[c] : 25dthpp + h + h2o --> 5aprbu + nh4","Riboflavin Metabolism","","Rib2 (YOL066C) ","YOL066C","Rib2"
"DTMPK","dTMP kinase","[c] : atp + dtmp <==> adp + dtdp","Nucleotide Salvage Pathway","2.7.4.9","Cdc8 (YJR057W) ","YJR057W","Cdc8"
"DTTPt","dTTP reversible uniport","dttp[e] <==> dttp[c]","Transport, Extracellular","","","",""
"DUMPtn","dUMP nuclear transport","dump[c] <==> dump[n]","Transport, Nuclear","","","",""
"DURIK1","deoxyuridine kinase (ATP:Deoxyuridine)","[c] : atp + duri --> adp + dump + h","Purine and Pyrimidine Biosynthesis","","","",""
"DURIPP","deoxyuridine phosphorylase","[c] : duri + pi <==> 2dr1p + ura","Purine and Pyrimidine Biosynthesis","","Pnp1 (YLR209C) ","YLR209C","Pnp1"
"DURIt2","deoxyuridine transport in via proton symport","duri[e] + h[e] --> duri[c] + h[c]","Transport, Extracellular","","","",""
"DUTPDP","dUTP diphosphatase","[c] : dutp + h2o --> dump + h + ppi","Purine and Pyrimidine Biosynthesis","3.6.1.23","Dut1 (YBR252W) ","YBR252W","Dut1"
"DXHPScm","deoxyhypusine synthase, cytosolic/mitochondrial","h2o[c] + q6[m] + spmd[c] --> 13dampp[c] + 4abutn[c] + q6h2[m]","Arginine and Proline Metabolism","1.5.99.6","Dys1 (YHR068W) ","YHR068W","Dys1"
"E4HGLUtm","L-erythro-4-hydroxyglutamate mitochondrial transport via diffusion","e4hglu[c] <==> e4hglu[m]","Transport, Mitochondrial","","","",""
"E4HGLUtp","L-erythro-4-hydroxyglutamate peroxisomal transport via diffusion","e4hglu[c] <==> e4hglu[x]","Transport, Peroxisomal","","","",""
"E4Ptm","D-erythrose 4-phosphate mtiochondrial transport via diffusion","e4p[c] <==> e4p[m]","Transport, Mitochondrial","","","",""
"ECOAH11p","3-hydroxyacyl-CoA dehydratase (3-hydroxyhexacosyl-CoA), peroxisomal","[x] : h2o + hxc2coa <==> 3hxccoa","Fatty Acid Degradation","4.2.1.17","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"ECOAH4p","3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA), peroxisomal","[x] : 3hdcoa <==> dc2coa + h2o","Fatty Acid Degradation","4.2.1.17","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"ECOAH5p","3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA), peroxisomal","[x] : 3hddcoa <==> dd2coa + h2o","Fatty Acid Degradation","4.2.1.17","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"ECOAH6p","3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA), peroxisomal","[x] : 3htdcoa <==> h2o + td2coa","Fatty Acid Degradation","4.2.1.17","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"ECOAH7p","3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA), peroxisomal","[x] : 3hhdcoa <==> h2o + hdd2coa","Fatty Acid Degradation","4.2.1.17","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"ECOAH8p","3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA), peroxisomal","[x] : 3hodcoa <==> h2o + od2coa","Fatty Acid Degradation","4.2.1.17","Fox2-p (YKR009C) ","YKR009C","Fox2-p"
"EHGLAT","L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase","[c] : akg + e4hglu --> 4h2oglt + glu-L","Arginine and Proline Metabolism","2.6.1.1","Aat2 (YLR027C) ","YLR027C","Aat2"
"EHGLATm","L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, mitochondrial","[m] : akg + e4hglu --> 4h2oglt + glu-L","Arginine and Proline Metabolism","2.6.1.1","Aat1-m (YKL106W) ","YKL106W","Aat1-m"
"EHGLATp","L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, peroxisomal","[x] : akg + e4hglu --> 4h2oglt + glu-L","Arginine and Proline Metabolism","2.6.1.1","Aat2-p (YLR027C) ","YLR027C","Aat2-p"
"ENO","enolase","[c] : 2pg <==> h2o + pep","Glycolysis/Gluconeogenesis","4.2.1.11","( Err2 (YPL281C)  ) or ( Eno1 (YGR254W)  ) or ( Eno2 (YHR174W)  ) or ( Err1 (YOR393W)  ) or ( Err3 (YMR323W)  )","( YPL281C  or  YGR254W  or  YHR174W  or  YOR393W  or  YMR323W )","( Err2 ) or ( Eno1 ) or ( Eno2 ) or ( Err1 ) or ( Err3 )"
"EPGALURSe","Endopolygalacturonase (extracellular)","[e] : h2o + pectin --> galur","Alternate Carbon Metabolism","","Pgu1-e (YJR153W) ","YJR153W","Pgu1-e"
"EPISTAT_SC","Acyl-CoA:episterol acyltransferase, yeast-specific","[c] : (0.01) epist + (0.655) hdcoa + (0.01) hexccoa + (0.27) odecoa + (0.02) pmtcoa + (0.03) stcoa + (0.015) tdcoa --> coa + (0.01) epistest_SC","Sterol Metabolism","","Are1 (YCR048W) ","YCR048W","Are1"
"EPISTESTH_SC","episterol ester hydrolase, yeast-specific","[c] : (0.01) epistest_SC + h2o --> (0.01) epist + h + (0.02) hdca + (0.655) hdcea + (0.01) hexc + (0.03) ocdca + (0.27) ocdcea + (0.015) ttdca","Sterol Metabolism","","( Yeh1 (YLL012W)  ) or ( Tgl1 (YKL140W)  )","( YLL012W  or  YKL140W )","( Yeh1 ) or ( Tgl1 )"
"EPISTESTH_SCe","episterol ester hydrolase, yeast-specific (extracellular)","[e] : (0.01) epistest_SC + h2o --> (0.01) epist + h + (0.02) hdca + (0.655) hdcea + (0.01) hexc + (0.03) ocdca + (0.27) ocdcea + (0.015) ttdca","Sterol Metabolism","","Yeh2-e (YLR020C) ","YLR020C","Yeh2-e"
"EPISTt","episterol reversible transport","epist[e] <==> epist[c]","Transport, Extracellular","","( Aus1 (YOR011W)  ) or ( Pdr11 (YIL013C)  )","( YOR011W  or  YIL013C )","( Aus1 ) or ( Pdr11 )"
"EPMGH","Epimelibiose galactohydrolase","[c] : epm + h2o <==> gal + man","Galactose metabolism","3.2.1.22","Mel1 (YBR184W) ","YBR184W","Mel1"
"ERGSTAT_SC","Acyl-CoA:ergosterol acyltransferase, yeast-specific","[c] : (0.01) ergst + (0.655) hdcoa + (0.01) hexccoa + (0.27) odecoa + (0.02) pmtcoa + (0.03) stcoa + (0.015) tdcoa --> coa + (0.01) ergstest_SC","Sterol Metabolism","","( Are1 (YCR048W)  ) or ( Are2 (YNR019W)  )","( YCR048W  or  YNR019W )","( Are1 ) or ( Are2 )"
"ERGSTESTH_SC","ergosterol ester hydrolase, yeast-specific","[c] : (0.01) ergstest_SC + h2o --> (0.01) ergst + h + (0.02) hdca + (0.655) hdcea + (0.01) hexc + (0.03) ocdca + (0.27) ocdcea + (0.015) ttdca","Sterol Metabolism","","( Tgl1 (YKL140W)  ) or ( Yeh1 (YLL012W)  )","( YKL140W  or  YLL012W )","( Tgl1 ) or ( Yeh1 )"
"ERGSTESTH_SCe","ergosterol ester hydrolase, yeast-specific (extracellular)","[e] : (0.01) ergstest_SC + h2o --> (0.01) ergst + h + (0.02) hdca + (0.655) hdcea + (0.01) hexc + (0.03) ocdca + (0.27) ocdcea + (0.015) ttdca","Sterol Metabolism","","Yeh2-e (YLR020C) ","YLR020C","Yeh2-e"
"ERGSTGLCT","UDP-glucose:ergosterol glucosyltransferase","[c] : ergst + udpg --> ergst3glc + h + udp","Sterol Metabolism","","Ugt51 (YLR189C) ","YLR189C","Ugt51"
"ERGSTt","ergosterol reversible transport","ergst[e] <==> ergst[c]","Transport, Extracellular","","( Pdr11 (YIL013C)  ) or ( Aus1 (YOR011W)  )","( YIL013C  or  YOR011W )","( Pdr11 ) or ( Aus1 )"
"ERGSTter","ergosterol endoplasmic reticular transport","ergst[r] <==> ergst[c]","Transport, Endoplasmic Reticular","","","",""
"ERGTETROLter","Ergosta-5,6,22,24,(28)-tetraen-3beta-ol endoplamic reticular transport","ergtetrol[c] <==> ergtetrol[r]","Transport, Endoplasmic Reticular","","","",""
"ETHAK","Ethanolamine kinase","[c] : atp + etha --> adp + ethamp + h","Phospholipid Biosynthesis","2.7.1.82","Eki1 (YDR147W) ","YDR147W","Eki1"
"ETHAPT_SC","Ethanolaminephosphotransferase, yeast-specific","[c] : (0.01) 12dgr_SC + cdpea <==> cmp + h + (0.01) pe_SC","Phospholipid Biosynthesis","2.7.8.1","Ept1 (YHR123W) ","YHR123W","Ept1"
"ETHAt","ethanolamine transport via diffusion (extracellular)","etha[e] <==> etha[c]","Transport, Extracellular","","","",""
"ETOHt","ethanol reversible transport","etoh[e] <==> etoh[c]","Transport, Extracellular","","","",""
"ETOHtm","ethanol transport to mitochondria (diffusion)","etoh[c] <==> etoh[m]","Transport, Mitochondrial","","","",""
"EX_13BDglcn(e)","1,3-beta-D-Glucan exchange","[e] : 13BDglcn <==>","","","","",""
"EX_2hb(e)","2-Hydroxybutyrate exchange","[e] : 2hb <==>","","","","",""
"EX_2mbac(e)","2-methylbutyl acetate exchange","[e] : 2mbac <==>","","","","",""
"EX_2mbald(e)","2-methylbutyraldehyde exchange","[e] : 2mbald <==>","","","","",""
"EX_2mbtoh(e)","2-methyl-1-butanol exchange","[e] : 2mbtoh <==>","","","","",""
"EX_2mppal(e)","2-methylpropanal exchange","[e] : 2mppal <==>","","","","",""
"EX_2phetoh(e)","2-phenylethanol exchange","[e] : 2phetoh <==>","","","","",""
"EX_3c3hmp(e)","3-Carboxy-3-hydroxy-4-methylpentanoate exchange","[e] : 3c3hmp <==>","","","","",""
"EX_3mbald(e)","3-Methylbutanal exchange","[e] : 3mbald <==>","","","","",""
"EX_3mop(e)","3mop exchange","[e] : 3mop <==>","","","","",""
"EX_4abut(e)","4-Aminobutanoate exchange","[e] : 4abut <==>","","","","",""
"EX_4abz(e)","4-Aminobenzoate exchange","[e] : 4abz <==>","","","","",""
"EX_5aop(e)","5-Amino-4-oxopentanoate exchange","[e] : 5aop <==>","","","","",""
"EX_8aonn(e)","8-Amino-7-oxononanoate exchange","[e] : 8aonn <==>","","","","",""
"EX_Nbfortyr(e)","N,N-bisformyl-dityrosine exchange","[e] : Nbfortyr <==>","","","","",""
"EX_abt(e)","L-Arabinitol exchange","[e] : abt <==>","","","","",""
"EX_ac(e)","Acetate exchange","[e] : ac <==>","","","","",""
"EX_acald(e)","Acetaldehyde exchange","[e] : acald <==>","","","","",""
"EX_aces(e)","Acetic ester exchange","[e] : aces <==>","","","","",""
"EX_ade(e)","Adenine exchange","[e] : ade <==>","","","","",""
"EX_adn(e)","Adenosine exchange","[e] : adn <==>","","","","",""
"EX_akg(e)","2-Oxoglutarate exchange","[e] : akg <==>","","","","",""
"EX_ala-L(e)","L-Alanine exchange","[e] : ala-L <==>","","","","",""
"EX_alltn(e)","Allantoin exchange","[e] : alltn <==>","","","","",""
"EX_alltt(e)","Allantoate exchange","[e] : alltt <==>","","","","",""
"EX_amet(e)","S-Adenosyl-L-methionine exchange","[e] : amet <==>","","","","",""
"EX_arab-D(e)","D-Arabinose exchange","[e] : arab-D <==>","","","","",""
"EX_arab-L(e)","L-Arabinose exchange","[e] : arab-L <==>","","","","",""
"EX_arg-L(e)","L-Arginine exchange","[e] : arg-L <==>","","","","",""
"EX_asn-L(e)","L-Asparagine exchange","[e] : asn-L <==>","","","","",""
"EX_asp-L(e)","L-Aspartate exchange","[e] : asp-L <==>","","","","",""
"EX_btd-RR(e)","(R,R)-2,3-Butanediol exchange","[e] : btd-RR <==>","","","","",""
"EX_btn(e)","Biotin exchange","[e] : btn <==>","","","","",""
"EX_chol(e)","Choline exchange","[e] : chol <==>","","","","",""
"EX_cit(e)","Citrate exchange","[e] : cit <==>","","","","",""
"EX_co2(e)","CO2 exchange","[e] : co2 <==>","","","","",""
"EX_crn(e)","L-Carnitine exchange","[e] : crn <==>","","","","",""
"EX_csn(e)","Cytosine exchange","[e] : csn <==>","","","","",""
"EX_cys-L(e)","L-Cysteine exchange","[e] : cys-L <==>","","","","",""
"EX_cytd(e)","Cytidine exchange","[e] : cytd <==>","","","","",""
"EX_dad-2(e)","Deoxyadenosine exchange","[e] : dad-2 <==>","","","","",""
"EX_dann(e)","7,8-Diaminononanoate exchange","[e] : dann <==>","","","","",""
"EX_dca(e)","Decanoate (n-C10:0) exchange","[e] : dca <==>","","","","",""
"EX_dcyt(e)","Deoxycytidine exchange","[e] : dcyt <==>","","","","",""
"EX_ddca(e)","Dodecanoate (n-C12:0) exchange","[e] : ddca <==>","","","","",""
"EX_dgsn(e)","Deoxyguanosine exchange","[e] : dgsn <==>","","","","",""
"EX_din(e)","Deoxyinosine exchange","[e] : din <==>","","","","",""
"EX_dttp(e)","dTTP exchange","[e] : dttp <==>","","","","",""
"EX_duri(e)","Deoxyuridine exchange","[e] : duri <==>","","","","",""
"EX_epist(e)","episterol exchange","[e] : epist <==>","","","","",""
"EX_epistest_SC(e)","episterol ester, yeast-specific exchange","[e] : epistest_SC <==>","","","","",""
"EX_ergst(e)","Ergosterol exchange","[e] : ergst <==>","","","","",""
"EX_ergstest_SC(e)","ergosterol ester, yeast-specific exchange","[e] : ergstest_SC <==>","","","","",""
"EX_etha(e)","Ethanolamine exchange","[e] : etha <==>","","","","",""
"EX_etoh(e)","Ethanol exchange","[e] : etoh <==>","","","","",""
"EX_fe2(e)","Fe2+ exchange","[e] : fe2 <==>","","","","",""
"EX_fecost(e)","fecosterol exchange","[e] : fecost <==>","","","","",""
"EX_fecostest_SC(e)","fecosterol ester, yeast-specific exchange","[e] : fecostest_SC <==>","","","","",""
"EX_fmn(e)","FMN exchange","[e] : fmn <==>","","","","",""
"EX_for(e)","Formate exchange","[e] : for <==>","","","","",""
"EX_fru(e)","D-Fructose exchange","[e] : fru <==>","","","","",""
"EX_fum(e)","Fumarate exchange","[e] : fum <==>","","","","",""
"EX_g3pc(e)","sn-Glycero-3-phosphocholine exchange","[e] : g3pc <==>","","","","",""
"EX_g3pi(e)","sn-Glycero-3-phospho-1-inositol exchange","[e] : g3pi <==>","","","","",""
"EX_gal(e)","D-Galactose exchange","[e] : gal <==>","","","","",""
"EX_galur(e)","D-Galacturonate exchange","[e] : galur <==>","","","","",""
"EX_gam6p(e)","D-Glucosamine 6-phosphate exchange","[e] : gam6p <==>","","","","",""
"EX_gcald(e)","Glycolaldehyde exchange","[e] : gcald <==>","","","","",""
"EX_glc(e)","D-Glucose exchange","[e] : glc-D <==>","","","","",""
"EX_gln-L(e)","L-Glutamine exchange","[e] : gln-L <==>","","","","",""
"EX_glu-L(e)","L-Glutamate exchange","[e] : glu-L <==>","","","","",""
"EX_glx(e)","Glyoxylate exchange","[e] : glx <==>","","","","",""
"EX_gly(e)","Glycine exchange","[e] : gly <==>","","","","",""
"EX_glyc(e)","Glycerol exchange","[e] : glyc <==>","","","","",""
"EX_gsn(e)","Guanosine exchange","[e] : gsn <==>","","","","",""
"EX_gthox(e)","Oxidized glutathione exchange","[e] : gthox <==>","","","","",""
"EX_gthrd(e)","Reduced glutathione exchange","[e] : gthrd <==>","","","","",""
"EX_gua(e)","Guanine exchange","[e] : gua <==>","","","","",""
"EX_h(e)","H+ exchange","[e] : h <==>","","","","",""
"EX_h2o(e)","H2O exchange","[e] : h2o <==>","","","","",""
"EX_hdca(e)","Hexadecanoate (n-C16:0) exchange","[e] : hdca <==>","","","","",""
"EX_hdcea(e)","hexadecenoate (n-C16:1) exchange","[e] : hdcea <==>","","","","",""
"EX_hexc(e)","hexacosanoate (n-C26:0) exchange","[e] : hexc <==>","","","","",""
"EX_his-L(e)","L-Histidine exchange","[e] : his-L <==>","","","","",""
"EX_hxan(e)","Hypoxanthine exchange","[e] : hxan <==>","","","","",""
"EX_iamac(e)","isoamyl acetate exchange","[e] : iamac <==>","","","","",""
"EX_iamoh(e)","Isoamyl alcohol exchange","[e] : iamoh <==>","","","","",""
"EX_ibutac(e)","isobutyl acetate exchange","[e] : ibutac <==>","","","","",""
"EX_ibutoh(e)","isobutyl alcohol exchange","[e] : ibutoh <==>","","","","",""
"EX_id3acald(e)","Indole-3-acetaldehyde exchange","[e] : id3acald <==>","","","","",""
"EX_ile-L(e)","L-Isoleucine exchange","[e] : ile-L <==>","","","","",""
"EX_ind3eth(e)","Indole-3-ethanol exchange","[e] : ind3eth <==>","","","","",""
"EX_inost(e)","myo-Inositol exchange","[e] : inost <==>","","","","",""
"EX_ins(e)","Inosine exchange","[e] : ins <==>","","","","",""
"EX_k(e)","K+ exchange","[e] : k <==>","","","","",""
"EX_lac-D(e)","D-lactate exchange","[e] : lac-D <==>","","","","",""
"EX_lac-L(e)","L-Lactate exchange","[e] : lac-L <==>","","","","",""
"EX_lanost(e)","Lanosterol exchange","[e] : lanost <==>","","","","",""
"EX_lanostest_SC(e)","lanosterol ester, yeast-specific exchange","[e] : lanostest_SC <==>","","","","",""
"EX_leu-L(e)","L-Leucine exchange","[e] : leu-L <==>","","","","",""
"EX_lys-L(e)","L-Lysine exchange","[e] : lys-L <==>","","","","",""
"EX_mal-L(e)","L-Malate exchange","[e] : mal-L <==>","","","","",""
"EX_malt(e)","Maltose exchange","[e] : malt <==>","","","","",""
"EX_man(e)","D-Mannose exchange","[e] : man <==>","","","","",""
"EX_melib(e)","Melibiose exchange","[e] : melib <==>","","","","",""
"EX_met-L(e)","L-Methionine exchange","[e] : met-L <==>","","","","",""
"EX_mmet(e)","S-Methyl-L-methionine exchange","[e] : mmet <==>","","","","",""
"EX_na1(e)","Sodium exchange","[e] : na1 <==>","","","","",""
"EX_nac(e)","Nicotinate exchange","[e] : nac <==>","","","","",""
"EX_nadp(e)","Nicotinamide adenine dinucleotide phosphate exchange","[e] : nadp <==>","","","","",""
"EX_nh4(e)","Ammonia exchange","[e] : nh4 <==>","","","","",""
"EX_nmn(e)","NMN exchange","[e] : nmn <==>","","","","",""
"EX_o2(e)","O2 exchange","[e] : o2 <==>","","","","",""
"EX_oaa(e)","Oxaloacetate exchange","[e] : oaa <==>","","","","",""
"EX_ocdca(e)","octadecanoate (n-C18:0) exchange","[e] : ocdca <==>","","","","",""
"EX_ocdcea(e)","octadecenoate (n-C18:1) exchange","[e] : ocdcea <==>","","","","",""
"EX_ocdcya(e)","octadecynoate (n-C18:2) exchange","[e] : ocdcya <==>","","","","",""
"EX_orn(e)","Ornithine exchange","[e] : orn <==>","","","","",""
"EX_pacald(e)","Phenylacetaldehyde exchange","[e] : pacald <==>","","","","",""
"EX_pap(e)","Adenosine 3',5'-bisphosphate exchange","[e] : pap <==>","","","","",""
"EX_pc_SC(e)","Phosphatidylcholine, yeast-specific exchange","[e] : pc_SC <==>","","","","",""
"EX_pectin(e)","Pectin exchange","[e] : pectin <==>","","","","",""
"EX_pepd(e)","peptide exchange","[e] : pepd <==>","","","","",""
"EX_phe-L(e)","L-Phenylalanine exchange","[e] : phe-L <==>","","","","",""
"EX_pheac(e)","Phenethyl acetate exchange","[e] : pheac <==>","","","","",""
"EX_pi(e)","Phosphate exchange","[e] : pi <==>","","","","",""
"EX_pnto-R(e)","(R)-Pantothenate exchange","[e] : pnto-R <==>","","","","",""
"EX_pro-L(e)","L-Proline exchange","[e] : pro-L <==>","","","","",""
"EX_ptd1ino_SC(e)","phosphatidyl-1D-myo-inositol, yeast-specific exchange","[e] : ptd1ino_SC <==>","","","","",""
