GENE ID	GENE ALIASES	START	END	FUNCTIONAL ROLES	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
peg.459	"ydbS,Bsu0459,NP_388340.1,gi|16077526,GeneID:940149"	512371	512371				
peg.460	"ydbT,Bsu0460,NP_388341.1,gi|16077527,GeneID:938221"	512840	512840				
peg.461	"ydcA,Bsu0461,NP_388342.1,gi|16077528,GeneID:939936"	514573	514573	putative membrane protein			
peg.462	"ydcB,Bsu0462,NP_388343.1,gi|16077529,GeneID:938194"	515267	515267	Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	Fatty_Acid_Biosynthesis_FASII	Fatty Acids and Lipids	rxn06023
peg.463	"ydcC,Bsu0463,NP_388344.1,gi|16077530,GeneID:938166"	515693	515693	outer membrane lipoprotein receptor			
peg.464	"dal,Bsu0464,NP_388345.1,gi|16077531,GeneID:939942"	516929	516929	Alanine racemase (EC 5.1.1.1)	Alanine_biosynthesis|Pyruvate_Alanine_Serine_Interconversions	Amino Acids and Derivatives|Carbohydrates	rxn00283
peg.465	"ydcD,Bsu0465,NP_388346.1,gi|16077532,GeneID:938177"	518214	518214				
peg.466	"ydcE,Bsu0466,NP_388347.1,gi|16077533,GeneID:939935"	518500	518500	MazF: sequence-specific endoribonuclease that cleaves mRNA to inhibit protein synthesis			
peg.467	"rsbR,Bsu0467,NP_388348.1,gi|16077534,GeneID:938176"	518965	518965	"RsbR, positive regulator of sigma-B"			
peg.468	"rsbS,Bsu0468,NP_388349.1,gi|16077535,GeneID:938157"	519794	519794	"RsbS, negative regulator of sigma-B"			
peg.469	"rsbT,Bsu0469,NP_388350.1,gi|16077536,GeneID:938168"	520163	520163	anti-sigma B factor RsbT			
peg.470	"rsbU,Bsu0470,NP_388351.1,gi|16077537,GeneID:939939"	520576	520576	"Serine phosphatase RsbU, regulator of sigma subunit"			
peg.471	"rsbV,Bsu0471,NP_388352.1,gi|16077538,GeneID:939930"	521645	521645	anti sigma b factor antagonist RsbV|anti-sigma F factor antagonist (spoIIAA-2)			
peg.472	"rsbW,Bsu0472,NP_388353.1,gi|16077539,GeneID:938167"	521971	521971	Serine-protein kinase rsbW (EC 2.7.11.1)			
peg.473	"sigB,Bsu0473,NP_388354.1,gi|16077540,GeneID:939937"	522413	522413	RNA polymerase sigma factor SigB	"Biofilm_formation_in_Staphylococcus|Methicillin_resistance_in_Staphylococci|Transcription_initiation,_bacterial_sigma_factors"	Regulation and Cell signaling|Virulence|RNA Metabolism	
peg.474	"rsbX,Bsu0474,NP_388355.1,gi|16077541,GeneID:938155"	523207	523207	Phosphoserine phosphatase rsbX (EC 3.1.3.3)			rxn02046|rxn00420
peg.475	"ydcF,Bsu0475,NP_388356.1,gi|16077542,GeneID:938158"	524049	524049				
peg.476	"ydcG,Bsu0476,NP_388357.1,gi|16077543,GeneID:938162"	524339	524339				
peg.477	"ydcH,Bsu0477,NP_388358.1,gi|16077544,GeneID:939928"	524763	524763	"Transcriptional regulator, MarR family"			
peg.478	"ydcI,Bsu0478,NP_388359.1,gi|16077545,GeneID:939932"	525300	525300	Transcription accessory protein (S1 RNA-binding domain)			
peg.479	"ydcK,Bsu0479,NP_388360.1,gi|16077546,GeneID:938154"	527860	527860	Putative metallopeptidase (Zinc) SprT family			
peg.480	"ydcL,Bsu0480,NP_388361.1,gi|16077547,GeneID:938151"	529236	529236	Integrase			
peg.481	"ydcM,Bsu0481,NP_388362.1,gi|16077548,GeneID:939924"	530355	530355	YDCM protein			
peg.482	"ydcN,Bsu0482,NP_388363.1,gi|16077549,GeneID:938150"	530861	530861	"transcriptional regulator, Cro/CI family"			
peg.483	"sacV,Bsu0483,NP_388364.1,gi|16077550,GeneID:939938"	531518	531518	regulation of the levansucrase gene (sacB)			
peg.484	"ydcO,Bsu0484,NP_388365.1,gi|16077551,GeneID:938142"	532023	532023				
peg.485	"ydcP,Bsu0485,NP_388366.1,gi|16077552,GeneID:939920"	532653	532653	YDCP protein			
peg.486	"ydcQ,Bsu0486,NP_388367.1,gi|16077553,GeneID:939923"	533069	533069	FtsK/SpoIIIE family protein			
peg.487	"ydcR,Bsu0487,NP_388368.1,gi|16077554,GeneID:939922"	534504	534504	"Transcriptional regulator, Cro/CI family"			
peg.488	"ydcS,Bsu0488,NP_388369.1,gi|16077555,GeneID:938148"	535827	535827	ABC transporter binding periplasmic protein ydcS			
peg.489	"ydcT,Bsu0489,NP_388370.1,gi|16077556,GeneID:938146"	536135	536135	ABC transporter ATP-binding protein ydcT			
peg.490	"yddA,Bsu0490,NP_388371.1,gi|16077557,GeneID:938135"	536418	536418				
peg.491	"yddB,Bsu0491,NP_388372.1,gi|16077558,GeneID:939918"	536716	536716	YDDB protein			
peg.492	"yddC,Bsu0492,NP_388373.1,gi|16077559,GeneID:938144"	537792	537792				
peg.493	"yddD,Bsu0493,NP_388374.1,gi|16077560,GeneID:939921"	538053	538053				
peg.494	"yddE,Bsu0494,NP_388375.1,gi|16077561,GeneID:938130"	538465	538465	"conjugal transfer protein, putative"			
peg.495	"yddF,Bsu0495,NP_388376.1,gi|16077562,GeneID:938143"	540979	540979	DUF1874 domain-containing protein			
peg.496	"yddG,Bsu0496,NP_388377.1,gi|16077563,GeneID:938141"	541309	541309				
peg.497	"yddH,Bsu0497,NP_388378.1,gi|16077564,GeneID:938136"	543753	543753	"lipoprotein, NLP/P60 family"			
peg.498	"yddI,Bsu0498,NP_388379.1,gi|16077565,GeneID:939919"	544757	544757				
peg.499	"yddJ,Bsu0499,NP_388380.1,gi|16077566,GeneID:939925"	545326	545326				
peg.500	"yddK,Bsu0500,NP_388381.1,gi|16077567,GeneID:939917"	545897	545897				
peg.501	"rapI,Bsu0501,NP_388382.1,gi|16077568,GeneID:938127"	547037	547037	response regulator aspartate phosphatase			
peg.502	"phrI,Bsu0502,NP_388383.1,gi|16077569,GeneID:939927"	548169	548169	regulator of the activity of phosphatase RapI			
peg.503	"yddM,Bsu0503,NP_388384.1,gi|16077570,GeneID:938134"	548441	548441				
peg.504	"yddN,Bsu0504,NP_388385.1,gi|16077571,GeneID:938133"	549953	549953	Luciferase-like monooxygenase (EC 1.14.-.-)			
peg.505	"lrpA,Bsu0505,NP_388386.1,gi|16077572,GeneID:938119"	551232	551232	negative regulation of glyA transcription and KinB-dependent sporulation			
peg.506	"lrpB,Bsu0506,NP_388387.1,gi|16077573,GeneID:939912"	551765	551765	negative regulation of glyA transcription and KinB-dependent sporulation			
peg.507	"yddQ,Bsu0507,NP_388388.1,gi|16077574,GeneID:938129"	552329	552329	Isochorismatase (EC 3.3.2.1)	"Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.|Siderophore_enterobactin_biosynthesis_and_ferric_enterbactin_transport"	Amino Acids and Derivatives|Virulence	rxn02177
peg.508	"yddR,Bsu0508,NP_388389.1,gi|16077575,GeneID:939915"	553424	553424	ABC transporter permease protein yddR			
peg.509	"yddS,Bsu0509,NP_388390.1,gi|16077576,GeneID:938128"	554382	554382	ABC transporter binding periplasmic protein yddS			
peg.510	"yddT,Bsu0510,NP_388391.1,gi|16077577,GeneID:939913"	556476	556476				
peg.511	"ydeA,Bsu0511,NP_388392.1,gi|16077578,GeneID:939914"	558122	558122	ThiJ/PfpI family			
peg.512	"cspC,Bsu0512,NP_388393.1,gi|16077579,GeneID:938114"	558978	558978	Cold shock protein CspC	"Cold_shock,_CspA_family_of_proteins"	Stress Response	
peg.513	"ydeB,Bsu0513,NP_388394.1,gi|16077580,GeneID:938120"	559865	559865	CarD-like transcriptional regulator			
peg.514	"ydzE,Bsu0514,NP_388395.1,gi|16077581,GeneID:938121"	560894	560894	YDZE protein			
peg.515	"ydeC,Bsu0515,NP_388396.1,gi|16077582,GeneID:938103"	561228	561228	transcriptional regulator (AraC/XylS family)			
peg.516	"ydeD,Bsu0516,NP_388397.1,gi|16077583,GeneID:939906"	562216	562216	"Transporter, Drug/Metabolite Exporter family"			
peg.517	"ydeE,Bsu0517,NP_388398.1,gi|16077584,GeneID:938117"	563328	563328	"Transcriptional regulator, AraC family"			
peg.518	"ydeF,Bsu0518,NP_388399.1,gi|16077585,GeneID:939911"	564418	564418	"transcriptional regulator, GntR family"			
peg.519	"ydeG,Bsu0519,NP_388400.1,gi|16077586,GeneID:938115"	565925	565925	Tetracycline resistance protein			
peg.520	"ydeH,Bsu0520,NP_388401.1,gi|16077587,GeneID:938097"	567376	567376				
peg.521	"ydeI,Bsu0521,NP_388402.1,gi|16077588,GeneID:939916"	568059	568059	DUF1801 domain-containing protein			
peg.522	"ydeJ,Bsu0522,NP_388403.1,gi|16077589,GeneID:939910"	569004	569004				
peg.523	"ydeK,Bsu0523,NP_388404.1,gi|16077590,GeneID:938112"	570085	570085	"Integral membrane protein, DUF6"			
peg.524	"ydeL,Bsu0524,NP_388405.1,gi|16077591,GeneID:939904"	571103	571103	"AMINOTRANSFERASE CLASS-I (EC 2.6.1.-)|Transcriptional regulator, GntR family"			
peg.525	"ydeM,Bsu0525,NP_388406.1,gi|16077592,GeneID:938104"	572688	572688				
peg.526	"ydeN,Bsu0526,NP_388407.1,gi|16077593,GeneID:939908"	573166	573166				
peg.527	"ydzF,Bsu0527,NP_388408.1,gi|16077594,GeneID:938088"	573820	573820	"Cinnamoyl ester hydrolase|Transcriptional regulator, MarR family"			
peg.528	"ydeO,Bsu0528,NP_388409.1,gi|16077595,GeneID:938098"	574404	574404	"membrane protein, putative"			
peg.529	"ydeP,Bsu0529,NP_388410.1,gi|16077596,GeneID:938100"	575426	575426	"Cinnamoyl ester hydrolase|Transcriptional regulator, MarR family"			
peg.530	"ydeQ,Bsu0530,NP_388411.1,gi|16077597,GeneID:939902"	575923	575923	putative NAD(P)H oxidoreductase			
peg.531	"ydeR,Bsu0531,NP_388412.1,gi|16077598,GeneID:938096"	576660	576660	MFS permease			
peg.532	"ydeS,Bsu0532,NP_388413.1,gi|16077599,GeneID:938083"	578051	578051	"Transcriptional regulator, TetR family"			
peg.533	"ydeT,Bsu0533,NP_388414.1,gi|16077600,GeneID:938089"	579255	579255	Arsenical resistance operon repressor	Arsenic_resistance	Virulence	
peg.534	"ydfA,Bsu0534,NP_388415.1,gi|16077601,GeneID:939905"	579603	579603	Arsenic efflux pump protein	Arsenic_resistance	Virulence	rxn05507|rxn05506
peg.535	"ydfB,Bsu0535,NP_388416.1,gi|16077602,GeneID:938079"	581408	581408	"acetyltransferase, GNAT family"			
peg.536	"ydfC,Bsu0536,NP_388417.1,gi|16077603,GeneID:938086"	582250	582250	"Transporter, Drug/Metabolite Exporter family"			
peg.537	"ydfD,Bsu0537,NP_388418.1,gi|16077604,GeneID:939903"	583303	583303	"Transcriptional regulator, GntR family"			
peg.538	"ydfE,Bsu0538,NP_388419.1,gi|16077605,GeneID:939898"	584869	584869				
peg.539	"ydfF,Bsu0539,NP_388420.1,gi|16077606,GeneID:938084"	585582	585582				
peg.540	"ydfG,Bsu0540,NP_388421.1,gi|16077607,GeneID:938081"	586342	586342	putative membrane protein			
peg.541	"ydfH,Bsu0541,NP_388422.1,gi|16077608,GeneID:938076"	587458	587458	sensor histidine kinase			
peg.542	"ydfI,Bsu0542,NP_388423.1,gi|16077609,GeneID:938080"	588674	588674	DNA-binding response regulator			
peg.543	"ydfJ,Bsu0543,NP_388424.1,gi|16077610,GeneID:939901"	589431	589431	Membrane protein ydfJ			
peg.544	"nap,Bsu0544,NP_388425.1,gi|16077611,GeneID:938069"	592017	592017	carboxylesterase NA			
peg.545	"ydfK,Bsu0545,NP_388426.1,gi|16077612,GeneID:939896"	593121	593121	putative transport protein			
peg.546	"ydfL,Bsu0546,NP_388427.1,gi|16077613,GeneID:938078"	593900	593900	"transcriptional regulator, MerR family"			
peg.547	"ydfM,Bsu0547,NP_388428.1,gi|16077614,GeneID:939900"	594823	594823	Cobalt-zinc-cadmium resistance protein	Cobalt-zinc-cadmium_resistance	Virulence	
peg.548	"ydfN,Bsu0548,NP_388429.1,gi|16077615,GeneID:939899"	596192	596192	Dihydropteridine reductase (EC 1.5.1.34)|Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-)	Pterin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03975|rxn01314|rxn05088|rxn03976
peg.549	"ydfO,Bsu0549,NP_388430.1,gi|16077616,GeneID:939894"	596828	596828	Glyoxalase family protein	Serine-glyoxylate_cycle	Carbohydrates	
peg.550	"ydfP,Bsu0550,NP_388431.1,gi|16077617,GeneID:938077"	597868	597868	"Membrane protein, distant similarity to thiosulphate:quinone oxidoreductase DoxD"			
peg.551	"ydfQ,Bsu0551,NP_388432.1,gi|16077618,GeneID:938062"	598443	598443	Thioredoxin	"Glycine_reductase,_sarcosine_reductase_and_betaine_reductase"	Protein Metabolism	
peg.552	"ydzH,Bsu0552,NP_388433.1,gi|16077619,GeneID:938074"	598821	598821				
peg.553	"ydfR,Bsu0553,NP_388434.1,gi|16077620,GeneID:939897"	599943	599943	YDFR protein			
peg.554	"ydfS,Bsu0554,NP_388435.1,gi|16077621,GeneID:939890"	600733	600733	probable membrane protein yetF			
peg.555	"ydfT,Bsu0555,NP_388436.1,gi|16077622,GeneID:938073"	601455	601455				
peg.556	"ydgA,Bsu0556,NP_388437.1,gi|16077623,GeneID:938065"	601899	601899				
peg.557	"ydgB,Bsu0557,NP_388438.1,gi|16077624,GeneID:938056"	602155	602155				
peg.558	"ydgC,Bsu0558,NP_388439.1,gi|16077625,GeneID:938064"	602726	602726	YDGC protein			
peg.559	"ydgD,Bsu0559,NP_388440.1,gi|16077626,GeneID:939895"	603310	603310				
peg.560	"ydgE,Bsu0560,NP_388441.1,gi|16077627,GeneID:939907"	603817	603817	"acetyltransferase, GNAT family"			
peg.561	"expZ,Bsu0561,NP_388442.1,gi|16077628,GeneID:938053"	604450	604450	ATP-binding transport protein			
peg.562	"ydgF,Bsu0562,NP_388443.1,gi|16077629,GeneID:938050"	606413	606413	D-serine/D-alanine/glycine transporter	Glycine_and_Serine_Utilization|Pyruvate_Alanine_Serine_Interconversions	Amino Acids and Derivatives|Carbohydrates	rxn05649|rxn05495|rxn05582|rxn05494
peg.563	"dinB,Bsu0563,NP_388444.1,gi|16077630,GeneID:938057"	607961	607961	nuclease inhibitor			
peg.564	"ydgG,Bsu0564,NP_388445.1,gi|16077631,GeneID:939880"	608648	608648	YDGG protein			
peg.565	"ydgH,Bsu0565,NP_388446.1,gi|16077632,GeneID:938043"	609103	609103	Putative membrane protein			
peg.566	"ydgI,Bsu0566,NP_388447.1,gi|16077633,GeneID:938001"	611906	611906	Dihydropteridine reductase (EC 1.5.1.34)|Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-)	Pterin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03975|rxn01314|rxn05088|rxn03976
peg.567	"ydgJ,Bsu0567,NP_388448.1,gi|16077634,GeneID:938036"	612551	612551	"transcriptional regulator, MarR family"			
peg.568	"ydgK,Bsu0568,NP_388449.1,gi|16077635,GeneID:938060"	613356	613356	Bicyclomycin resistance protein			
peg.569	"ydhB,Bsu0569,NP_388450.1,gi|16077636,GeneID:939893"	614559	614559	"membrane protein, putative"			
peg.570	"ydhC,Bsu0570,NP_388451.1,gi|16077637,GeneID:938042"	615587	615587	"Transcriptional regulator, GntR family"			
peg.571	"ydhD,Bsu0571,NP_388452.1,gi|16077638,GeneID:939885"	616388	616388	"Spore protein YdhD, not involved in spore germination"			
peg.572	"ydhE,Bsu0572,NP_388453.1,gi|16077639,GeneID:939868"	617853	617853	Macrolide glycosyltransferase (EC 2.4.1.-)			
peg.573	"ydhF,Bsu0573,NP_388454.1,gi|16077640,GeneID:938019"	619037	619037	membrane protein			
peg.574	"phoB,Bsu0574,NP_388455.1,gi|16077641,GeneID:938004"	619813	619813	Alkaline phosphatase (EC 3.1.3.1)			rxn02166|rxn00743|rxn03167
peg.575	"ydhG,Bsu0575,NP_388456.1,gi|16077642,GeneID:938031"	621563	621563	YdhG-like protein			
peg.576	"ydhH,Bsu0576,NP_388457.1,gi|16077643,GeneID:939877"	622010	622010				
peg.577	"ydhI,Bsu0577,NP_388458.1,gi|16077644,GeneID:939866"	622525	622525	"acetyltransferase, GNAT family"			
peg.578	"ydhJ,Bsu0578,NP_388459.1,gi|16077645,GeneID:938014"	623090	623090	Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	Purine_conversions	Nucleosides and Nucleotides	rxn01352
peg.579	"ydhK,Bsu0579,NP_388460.1,gi|16077646,GeneID:939873"	624209	624209	DUF1541 domain-containing protein			
peg.580	"ydhL,Bsu0580,NP_388461.1,gi|16077647,GeneID:937996"	624842	624842	major facilitator family transporter			
peg.581	"ydhM,Bsu0581,NP_388462.1,gi|16077648,GeneID:938018"	626338	626338	"PTS system, cellobiose-specific IIB component (EC 2.7.1.69)"	Beta-Glucoside_Metabolism	Carbohydrates	rxn05518
peg.582	"ydhN,Bsu0582,NP_388463.1,gi|16077649,GeneID:938039"	626649	626649	"PTS system, cellobiose-specific IIA component (EC 2.7.1.69)"	Beta-Glucoside_Metabolism	Carbohydrates	rxn05518
peg.583	"ydhO,Bsu0583,NP_388464.1,gi|16077650,GeneID:939882"	627000	627000	"PTS system, cellobiose-specific IIC component (EC 2.7.1.69)"	Beta-Glucoside_Metabolism	Carbohydrates	rxn05518
peg.584	"ydhP,Bsu0584,NP_388465.1,gi|16077651,GeneID:939872"	628346	628346	Beta-glucosidase (EC 3.2.1.21)	Beta-Glucoside_Metabolism|Fructooligosaccharides(FOS)_and_Raffinose_Utilization|Sucrose_Metabolism	Carbohydrates	rxn00222
peg.585	"ydhQ,Bsu0585,NP_388466.1,gi|16077652,GeneID:939879"	629886	629886	"Transcriptional regulator, GntR family"			
peg.586	"ydhR,Bsu0586,NP_388467.1,gi|16077653,GeneID:938016"	630628	630628	Fructokinase (EC 2.7.1.4)	"Fructose_utilization|Mannitol_Utilization|Ribitol,_Xylitol,_Arabitol,_Mannitol_and_Sorbitol_utilization|Sucrose_Metabolism|Sucrose_utilization|Sucrose_utilization_Shewanella"	Carbohydrates	rxn00547
peg.587	"ydhS,Bsu0587,NP_388468.1,gi|16077654,GeneID:938028"	631524	631524	Mannose-6-phosphate isomerase (EC 5.3.1.8)	Alginate_metabolism|Mannose_Metabolism	Cell Wall and Capsule|Carbohydrates	rxn00559
peg.588	"ydhT,Bsu0588,NP_388469.1,gi|16077655,GeneID:938034"	632490	632490	"Mannan endo-1,4-beta-mannosidase precursor (EC 3.2.1.78)"			
peg.589	"ydhU,Bsu0589,NP_388470.1,gi|16077656,GeneID:939883"	633639	633639				
peg.590	"ydiA,Bsu0590,NP_388471.1,gi|16077657,GeneID:939867"	640378	640378	Thiamine-monophosphate kinase (EC 2.7.4.16)	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00438
peg.591	"ydiB,Bsu0591,NP_388472.1,gi|16077658,GeneID:938047"	641370	641370	"ATPase YjeE, predicted to have essential role in cell wall biosynthesis"			rxn10198
peg.592	"ydiC,Bsu0592,NP_388473.1,gi|16077659,GeneID:939874"	641827	641827	"Inactive homolog of metal-dependent proteases, putative molecular chaperone"	Ribosome_biogenesis_bacterial|YrdC-YciO	Protein Metabolism|RNA Metabolism	
peg.593	"ydiD,Bsu0593,NP_388474.1,gi|16077660,GeneID:937997"	642526	642526	Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)	Ribosome_biogenesis_bacterial	Protein Metabolism	
peg.594	"ydiE,Bsu0594,NP_388475.1,gi|16077661,GeneID:938020"	642974	642974	FIG134348: essential endopeptidase	Macromolecular_synthesis_operon|YrdC-YciO	Macromolecular Synthesis|RNA Metabolism	
peg.595	"ydiF,Bsu0595,NP_388476.1,gi|16077662,GeneID:938013"	644244	644244	ABC transport system ATP-binding protein			
peg.596	"ydiG,Bsu0596,NP_388477.1,gi|16077663,GeneID:939875"	646298	646298	Molybdenum cofactor biosynthesis protein C	Molybdopterin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
peg.597	"ydiH,Bsu0597,NP_388478.1,gi|16077664,GeneID:939871"	646807	646807	Redox-sensitive transcriptional regulator (AT-rich DNA-binding protein)	Oxidative_stress	Stress Response	
peg.598	"ydiI,Bsu0598,NP_388479.1,gi|16077665,GeneID:939878"	647476	647476	Twin-arginine translocation protein TatA	Twin-arginine_translocation_system|YgfZ	"Protein Metabolism|Cofactors, Vitamins, Prosthetic Groups, Pigments"	
peg.599	"ydiJ,Bsu0599,NP_388480.1,gi|16077666,GeneID:938010"	647656	647656	Twin-arginine translocation protein TatC	Twin-arginine_translocation_system	Protein Metabolism	
peg.600	"ydiK,Bsu0600,NP_388481.1,gi|16077667,GeneID:939870"	648458	648458				
peg.601	"ydiL,Bsu0601,NP_388482.1,gi|16077668,GeneID:938033"	648646	648646	CAAX amino terminal protease family			
peg.602	"groES,Bsu0602,NP_388483.1,gi|16077669,GeneID:938006"	649577	649577	Heat shock protein 60 family co-chaperone GroES	GroEL_GroES	Protein Metabolism	
peg.603	"groEL,Bsu0603,NP_388484.1,gi|16077670,GeneID:938045"	649950	649950	Heat shock protein 60 family chaperone GroEL	GroEL_GroES|Staphylococcal_pathogenicity_islands_SaPI	Protein Metabolism|Virulence	
peg.604	"ydiM,Bsu0604,NP_388485.1,gi|16077671,GeneID:939886"	653148	653148				
peg.605	"ydiN,Bsu0605,NP_388486.1,gi|16077672,GeneID:938054"	654695	654695				
peg.606	"ydiO,Bsu0606,NP_388487.1,gi|16077673,GeneID:939892"	654940	654940	DNA-cytosine methyltransferase (EC 2.1.1.37)			rxn05294
peg.607	"ydiP,Bsu0607,NP_388488.1,gi|16077674,GeneID:939876"	656245	656245	DNA-cytosine methyltransferase (EC 2.1.1.37)			
peg.608	"ydiQ,Bsu0608,NP_388489.1,gi|16077675,GeneID:938029"	657900	657900				
peg.609	"ydiR,Bsu0609,NP_388490.1,gi|16077676,GeneID:938002"	659340	659340				
peg.610	"ydiS,Bsu0610,NP_388491.1,gi|16077677,GeneID:938023"	660313	660313	Type II restriction-modification system restriction subunit			
peg.611	"ydjA,Bsu0611,NP_388492.1,gi|16077678,GeneID:939884"	661347	661347				
peg.612	"ydjB,Bsu0612,NP_388493.1,gi|16077679,GeneID:935917"	663318	663318				
peg.613	"ydjC,Bsu0613,NP_388494.1,gi|16077680,GeneID:936012"	664036	664036				
peg.614	"gutR,Bsu0614,NP_388495.1,gi|16077681,GeneID:938026"	664492	664492	Sorbitol operon transcription regulator	"D-Sorbitol(D-Glucitol)_and_L-Sorbose_Utilization|Ribitol,_Xylitol,_Arabitol,_Mannitol_and_Sorbitol_utilization"	Carbohydrates	
peg.615	"gutB,Bsu0615,NP_388496.1,gi|16077682,GeneID:939495"	667183	667183	Sorbitol dehydrogenase (EC 1.1.1.14)	"D-Sorbitol(D-Glucitol)_and_L-Sorbose_Utilization|Dihydroxyacetone_kinases|Ribitol,_Xylitol,_Arabitol,_Mannitol_and_Sorbitol_utilization"	Carbohydrates	rxn00634
peg.616	"ydjD,Bsu0616,NP_388497.1,gi|16077683,GeneID:936004"	668318	668318	Glucitol/sorbitol-specific transport protein gutA	"D-Sorbitol(D-Glucitol)_and_L-Sorbose_Utilization|Ribitol,_Xylitol,_Arabitol,_Mannitol_and_Sorbitol_utilization"	Carbohydrates	rxn05648|rxn09661
peg.617	"ydjE,Bsu0617,NP_388498.1,gi|16077684,GeneID:939494"	669804	669804	Fructokinase (EC 2.7.1.4)	"Fructose_utilization|Mannitol_Utilization|Ribitol,_Xylitol,_Arabitol,_Mannitol_and_Sorbitol_utilization|Sucrose_Metabolism|Sucrose_utilization|Sucrose_utilization_Shewanella"	Carbohydrates	rxn00547
peg.618	"ydjF,Bsu0618,NP_388499.1,gi|16077685,GeneID:936013"	670962	670962	Phage shock protein A			
peg.619	"ydjG,Bsu0619,NP_388500.1,gi|16077686,GeneID:939489"	671711	671711				
peg.620	"ydjH,Bsu0620,NP_388501.1,gi|16077687,GeneID:936015"	672736	672736				
peg.621	"ydjI,Bsu0621,NP_388502.1,gi|16077688,GeneID:939493"	673531	673531				
peg.622	"ydjJ,Bsu0622,NP_388503.1,gi|16077689,GeneID:936027"	674549	674549				
peg.623	"ydjK,Bsu0623,NP_388504.1,gi|16077690,GeneID:936014"	676159	676159	Major myo-inositol transporter IolT	Inositol_catabolism	Carbohydrates	rxn05593
peg.624	"ydjL,Bsu0624,NP_388505.1,gi|16077691,GeneID:939490"	677628	677628	"2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)"	"Acetoin,_butanediol_metabolism"	Carbohydrates	rxn02112
peg.625	"ydjM,Bsu0625,NP_388506.1,gi|16077692,GeneID:936017"	679107	679107				
peg.626	"ydjN,Bsu0626,NP_388507.1,gi|16077693,GeneID:939488"	679544	679544				
peg.627	"ydjO,Bsu0627,NP_388508.1,gi|16077694,GeneID:936021"	680972	680972				
peg.628	"ydjP,Bsu0628,NP_388509.1,gi|16077695,GeneID:936035"	681264	681264	Non-heme chloroperoxidase (EC 1.11.1.10)			
peg.629	"yeaA,Bsu0629,NP_388510.1,gi|16077696,GeneID:936018"	682092	682092	alternate gene name: ydjQ			
peg.630	"cotA,Bsu0630,NP_388511.1,gi|16077697,GeneID:936023"	683179	683179	Spore coat protein A	Bsub-Spore-Coat	Cell Wall and Capsule	
peg.631	"gabP,Bsu0631,NP_388512.1,gi|16077698,GeneID:939485"	684872	684872	gamma-aminobutyrate (GABA) permease			rxn05475|rxn05564
peg.632	"yeaB,Bsu0632,NP_388513.1,gi|16077699,GeneID:936032"	686679	686679	YeaB (Cation efflux protein)			
peg.633	"yeaC,Bsu0633,NP_388514.1,gi|16077700,GeneID:939484"	687704	687704	FIG022979: MoxR-like ATPases			
peg.634	"yeaD,Bsu0634,NP_388515.1,gi|16077701,GeneID:939486"	689050	689050				
peg.635	"yebA,Bsu0635,NP_388516.1,gi|16077702,GeneID:936029"	690059	690059	"FIG001454: Transglutaminase-like enzymes, putative cysteine proteases"			
peg.636	"guaA,Bsu0636,NP_388517.1,gi|16077703,GeneID:936028"	692259	692259	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)	Purine_conversions|Staphylococcal_pathogenicity_islands_SaPI	Nucleosides and Nucleotides|Virulence	rxn00917
peg.637	"yebB,Bsu0637,NP_388518.1,gi|16077704,GeneID:936043"	694180	694180	Xanthine/uracil/thiamine/ascorbate permease family protein			rxn05201|rxn05202|rxn09657|rxn05197
peg.638	"yebC,Bsu0638,NP_388519.1,gi|16077705,GeneID:939478"	695704	695704				
peg.639	"yebD,Bsu0639,NP_388520.1,gi|16077706,GeneID:936033"	696666	696666				
peg.640	"yebE,Bsu0640,NP_388521.1,gi|16077707,GeneID:939480"	697050	697050				
peg.641	"yebF,Bsu0641,NP_388522.1,gi|16077708,GeneID:936040"	697335	697335				
peg.642	"yebG,Bsu0642,NP_388523.1,gi|16077709,GeneID:939351"	697601	697601				
peg.643	"purE,Bsu0643,NP_388524.1,gi|16077710,GeneID:939481"	698121	698121	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	rxn05229
peg.644	"purK,Bsu0644,NP_388525.1,gi|16077711,GeneID:936039"	698602	698602	Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	rxn05229
