SUBSYSTEM ID	GENE ID	FUNCTIONAL ROLES	CLASS 1	CLASS 2	REACTIONS	
"Transcription_initiation,_bacterial_sigma_factors"	peg.98|peg.173|peg.473|peg.1347|peg.1534|peg.1535|peg.1650|peg.2350|peg.2524|peg.2578|peg.2641|peg.2686|peg.2715|peg.3426	RNA polymerase sporulation specific sigma factor SigH|RNA polymerase sigma factor SigW|RNA polymerase sigma factor SigB|RNA polymerase sigma-54 factor RpoN|RNA polymerase sporulation specific sigma factor SigE|RNA polymerase sporulation specific sigma factor SigG|RNA polymerase sigma factor for flagellar operon|RNA polymerase sporulation specific sigma factor SigF|RNA polymerase sigma factor RpoD|RNA polymerase sporulation specific sigma factor SigK|RNA polymerase sigma factor SigZ|RNA polymerase sigma factor SigV	RNA Metabolism	Transcription	rxn05295	
General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)	peg.100|peg.136|peg.1597|peg.1600|peg.2768|peg.2773|peg.3369|peg.3531|peg.3532|peg.3536|peg.4111	"Preprotein translocase subunit SecE (TC 3.A.5.1.1)|Preprotein translocase secY subunit (TC 3.A.5.1.1)|Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)|Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)|Protein-export membrane protein secD (TC 3.A.5.1.1)|Protein-export membrane protein secF (TC 3.A.5.1.1)|Preprotein translocase subunit YajC (TC 3.A.5.1.1)|Preprotein translocase subunit SecG (TC 3.A.5.1.1)|Cell division protein FtsX|Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)|Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)|Ribonuclease P protein component (EC 3.1.26.5)"	Protein Metabolism	Secretion	rxn05295	
HtrA_and_Sec_secretion	peg.100|peg.136|peg.1292|peg.2768|peg.3369|peg.3536|peg.4042	"Preprotein translocase subunit SecE (TC 3.A.5.1.1)|Preprotein translocase secY subunit (TC 3.A.5.1.1)|Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)|Protein-export membrane protein secD (TC 3.A.5.1.1)|Protein-export membrane protein secF (TC 3.A.5.1.1)|Preprotein translocase subunit SecG (TC 3.A.5.1.1)|Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)"	Protein Metabolism	Secretion		
RNA_polymerase_bacterial	peg.107|peg.108|peg.143|peg.1571|peg.3723	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)|DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)|DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)|DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)|DNA-directed RNA polymerase delta subunit (EC 2.7.7.6)	RNA Metabolism	Transcription	rxn05295	
Ribosome_SSU_bacterial	peg.110|peg.111|peg.115|peg.120|peg.122|peg.125|peg.129|peg.130|peg.133|peg.141|peg.142|peg.150|peg.887|peg.1601|peg.1652|peg.1671|peg.2292|peg.2544|peg.2558|peg.2969|peg.4095|peg.4097	SSU ribosomal protein S12p (S23e)|SSU ribosomal protein S7p (S5e)|SSU ribosomal protein S10p (S20e)|SSU ribosomal protein S19p (S15e)|SSU ribosomal protein S3p (S3e)|SSU ribosomal protein S17p (S11e)|SSU ribosomal protein S14p (S29e)|SSU ribosomal protein S8p (S15Ae)|SSU ribosomal protein S5p (S2e)|SSU ribosomal protein S13p (S18e)|SSU ribosomal protein S11p (S14e)|SSU ribosomal protein S9p (S16e)|SSU ribosomal protein S16p|SSU ribosomal protein S2p (SAe)|SSU ribosomal protein S15p (S13e)|SSU ribosomal protein S1p|SSU ribosomal protein S21p|SSU ribosomal protein S20p|SSU ribosomal protein S4p (S9e)|SSU ribosomal protein S18p|SSU ribosomal protein S6p	Protein Metabolism	Protein biosynthesis	rxn05296	
"Tetracycline_resistance,_ribosome_protection_type"	peg.112	Translation elongation factor G	Virulence	Resistance to antibiotics and toxic compounds		
Translation_elongation_factor_G_family	peg.112	Translation elongation factor G	Protein Metabolism	Protein biosynthesis		
Universal_GTPases	peg.112|peg.113|peg.1479|peg.1580|peg.1597|peg.1600|peg.1607|peg.1666|peg.1747|peg.2288|peg.2532|peg.2554|peg.2570|peg.2795|peg.2822|peg.4098|peg.4108	"Translation elongation factor G|Translation elongation factor Tu|GTP-binding protein TypA/BipA|Ribosome small subunit-stimulated GTPase EngC|Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)|Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)|50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF)|Translation initiation factor 2|GTP-binding protein HflX|GTP-binding protein EngA|GTP-binding protein Era|Translation elongation factor LepA|GTP-binding protein YqeH, possibly involved in replication initiation|COG0536: GTP-binding protein Obg|GTP-binding protein EngB|GTP-binding and nucleic acid-binding protein YchF|GTPase and tRNA-U34 5-formylation enzyme TrmE"	Protein Metabolism	Protein biosynthesis		
tRNA_modification_Archaea_Henri	peg.148|peg.335|peg.803|peg.1374|peg.1376|peg.1377|peg.1605|peg.2282|peg.3702	tRNA pseudouridine synthase A (EC 4.2.1.70)|GTP cyclohydrolase I (EC 3.5.4.16) type 2|tRNA dihydrouridine synthase B|Queuosine Biosynthesis QueC ATPase|Queuosine Biosynthesis QueE Radical SAM|NADPH dependent preQ0 reductase|tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)|GTP cyclohydrolase I (EC 3.5.4.16) type 1|Sua5 YciO YrdC YwlC family protein	RNA Metabolism	RNA processing and modification	rxn00299|rxn05295	
tRNA_modification_yeast_cytoplasmic	peg.148|peg.267|peg.1605|peg.1737|peg.2754|peg.2962|peg.3274|peg.3702	tRNA pseudouridine synthase A (EC 4.2.1.70)|Cysteine desulfurase (EC 2.8.1.7)|tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)|tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8)|Sua5 YciO YrdC YwlC family protein	RNA Metabolism	RNA processing and modification	rxn05295	
tRNA_modification_yeast_mitochondrial	peg.148|peg.1605|peg.1737|peg.2752|peg.3702|peg.4107|peg.4108	tRNA pseudouridine synthase A (EC 4.2.1.70)|tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)|tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8)|tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)|Sua5 YciO YrdC YwlC family protein|tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA|GTPase and tRNA-U34 5-formylation enzyme TrmE	RNA Metabolism	RNA processing and modification	rxn05295	
(GlcNAc)2_Catabolic_Operon	peg.166	Beta-hexosaminidase (EC 3.2.1.52)	Carbohydrates	Aminosugars	rxn00016	
Chitin_and_N-acetylglucosamine_utilization	peg.166|peg.237|peg.770|peg.3507|peg.3508|peg.3509	"Beta-hexosaminidase (EC 3.2.1.52)|Glucosamine-6-phosphate deaminase (EC 3.5.99.6)|PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69)|PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)|N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)|Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family"	Carbohydrates	Aminosugars	rxn00016|rxn01484|rxn05485|rxn00552	
Sucrose_Metabolism	peg.168|peg.342|peg.584|peg.586|peg.617|peg.1821|peg.2489|peg.2706|peg.3088|peg.3089|peg.3100|peg.3138|peg.3451|peg.3564|peg.3573|peg.3576|peg.3630|peg.3809|peg.3931|peg.4018	"PTS system, glucose-specific IIBC component (EC 2.7.1.69)|Beta-glucosidase (EC 3.2.1.21)|Fructokinase (EC 2.7.1.4)|UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)|Glucokinase (EC 2.7.1.2)|Levanase (EC 3.2.1.65)|UDP-glucose dehydrogenase (EC 1.1.1.22)|Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)|Glucose-6-phosphate isomerase (EC 5.3.1.9)|Levansucrase (EC 2.4.1.10)|Sucrose-6-phosphate hydrolase (EC 3.2.1.26)"	Carbohydrates	Di- and oligosaccharides	rxn01737|rxn09978|rxn00558|rxn00547|rxn00211|rxn05226|rxn02760|rxn00695|rxn00222|rxn09979|rxn02380|rxn01977|rxn00213|rxn00216	
Maltose_and_Maltodextrin_Utilization	peg.175|peg.285|peg.818|peg.820|peg.1948|peg.3097|peg.3132|peg.3261|peg.3420|peg.3421|peg.3422|peg.3461|peg.3462|peg.3463|peg.3464|peg.3465|peg.3466|peg.3467|peg.3468|peg.3469|peg.3886|peg.4091	"ABC transporter, permease protein YbbP clustered with maltose/maltodextrin transporter|Oligo-1,6-glucosidase (EC 3.2.1.10)|Maltose-6'-phosphate glucosidase (EC 3.2.1.122)|PTS system, maltose and glucose-specific IIB component (EC 2.7.1.69)|PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)|Glycogen phosphorylase (EC 2.4.1.1)|Alpha-glucosidase (EC 3.2.1.20)|Multiple sugar ABC transporter, ATP-binding protein|Maltose/maltodextrin ABC transporter, permease protein MalG|Maltose/maltodextrin ABC transporter, permease protein MalF|Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE|Beta-phosphoglucomutase (EC 5.4.2.6)|Neopullulanase (EC 3.2.1.135)|Maltose phosphorylase (EC 2.4.1.8)|Maltodextrose utilization protein MalA|Maltose operon transcriptional repressor MalR, LacI family|Maltose O-acetyltransferase (EC 2.3.1.79)"	Carbohydrates	Di- and oligosaccharides	rxn05147|rxn05173|rxn01133|rxn01259|rxn05194|rxn00607|rxn01967|rxn00575|rxn05226|rxn05740|rxn01966|rxn05162|rxn01132|rxn00022|rxn05167|rxn05160|rxn05607|rxn09989|rxn05746	
Formaldehyde_assimilation:_Ribulose_monophosphate_pathway	peg.178|peg.190|peg.237|peg.346|peg.347|peg.348|peg.1303|peg.2215|peg.2390|peg.2391|peg.3138|peg.3508|peg.3719|peg.4014	"Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)|Glucosamine-6-phosphate deaminase (EC 3.5.99.6)|6-phospho-3-hexuloisomerase|D-arabino-3-hexulose 6-phosphate formaldehyde lyase|Transcriptional regulator HxlR, formaldehyde assimilation|6-phosphogluconolactonase (EC 3.1.1.31)|2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)|Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)|6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)|Glucose-6-phosphate isomerase (EC 5.3.1.9)|Fructose-bisphosphate aldolase class II (EC 4.1.2.13)"	Carbohydrates	One-carbon Metabolism	rxn01870|rxn00558|rxn00604|rxn00786|rxn01334|rxn00555|rxn03643|rxn02380|rxn01977|rxn01115|rxn03884|rxn03644|rxn00328|rxn01476|rxn00552	
DNA_Repair_Base_Excision	peg.180|peg.663|peg.801|peg.2055|peg.2206|peg.2238|peg.2765|peg.2911|peg.2912|peg.3802	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)|DNA ligase (EC 6.5.1.2)|ATP-dependent DNA ligase (EC 6.5.1.1)|DNA polymerase I (EC 2.7.7.7)|Endonuclease III (EC 4.2.99.18)|Single-stranded-DNA-specific exonuclease recJ (EC 3.1.-.-)|Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)|Uracil-DNA glycosylase (EC 3.2.2.-)	DNA Metabolism	DNA repair	rxn05294	
Respiratory_Complex_I	peg.183|peg.184|peg.185	"NADH dehydrogenase, subunit 5|Hypothetical transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog"	Respiration	Electron donating reactions		
"CO2_uptake,_carboxysome"	peg.184|peg.185|peg.3072|peg.3473	Hypothetical transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog|Carbonic anhydrase (EC 4.2.1.1)	Carbohydrates	CO2 fixation	rxn00102	
Beta-lactamase	peg.210|peg.1883	Probable beta-lactamase ybxI precursor (EC 3.5.2.6)|Beta-lactamase class A	Virulence	Resistance to antibiotics and toxic compounds	rxn07099	
Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization	peg.214|peg.215|peg.927|peg.928|peg.929|peg.930|peg.962|peg.2287	"Glycerophosphoryl diester phosphodiesterase, periplasmic (EC 3.1.4.46)|Glycerol-3-phosphate transporter|Glycerol uptake operon antiterminator regulatory protein|Glycerol uptake facilitator protein|Glycerol kinase (EC 2.7.1.30)|Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.99.5)|Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)|Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)"	Carbohydrates	Sugar alcohols	rxn00615|rxn01073|rxn00611|rxn08669|rxn00616|rxn05578|rxn00612|rxn05739|rxn05581|rxn00758	
Cobalt-zinc-cadmium_resistance	peg.222|peg.547|peg.1880|peg.2667|peg.2788|peg.3406|peg.4087	Permease of the drug/metabolite transporter (DMT) superfamily|Cobalt-zinc-cadmium resistance protein|Cobalt-zinc-cadmium resistance protein CzcD|Quinolinate synthetase (EC 4.1.99.-)	Virulence	Resistance to antibiotics and toxic compounds	rxn05315|rxn02988|rxn05517	
Queuosine-Archaeosine_Biosynthesis	peg.222|peg.335|peg.1374|peg.1375|peg.1376|peg.1377|peg.1880|peg.2204|peg.2282|peg.2774|peg.2775|peg.3406|peg.4087	"Permease of the drug/metabolite transporter (DMT) superfamily|GTP cyclohydrolase I (EC 3.5.4.16) type 2|Queuosine Biosynthesis QueC ATPase|Queuosine biosynthesis QueD, PTPS-I|Queuosine Biosynthesis QueE Radical SAM|NADPH dependent preQ0 reductase|Putative preQ0 transporter|GTP cyclohydrolase I (EC 3.5.4.16) type 1|tRNA-guanine transglycosylase (EC 2.4.2.29)|S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)"	RNA Metabolism	RNA processing and modification	rxn00299	
Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	peg.228|peg.230|peg.735|peg.929|peg.930|peg.954|peg.1032|peg.1586|peg.1591|peg.1594|peg.1657|peg.1695|peg.1810|peg.1847|peg.1936|peg.2287|peg.2534|peg.2704|peg.3666|peg.3731|peg.3801|peg.3888|peg.3991|peg.4010	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)|Phosphatidylserine decarboxylase (EC 4.1.1.65)|Aldehyde dehydrogenase (EC 1.2.1.3)|Glycerol kinase (EC 2.7.1.30)|Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.99.5)|1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)|Alcohol dehydrogenase (EC 1.1.1.1)|Dihydroxyacetone kinase family protein|Phosphate:acyl-ACP acyltransferase PlsX|Acyl carrier protein|Phosphatidate cytidylyltransferase (EC 2.7.7.41)|CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)|Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY|Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)|Diacylglycerol kinase (EC 2.7.1.107)|Cardiolipin synthetase (EC 2.7.8.-)|Glycerate kinase (EC 2.7.1.31)	Fatty Acids and Lipids	Phospholipids	rxn10215|rxn09206|rxn10243|rxn10227|rxn09113|rxn05734|rxn00979|rxn10233|rxn10342|rxn08297|rxn10230|rxn02853|rxn10259|rxn10225|rxn10217|rxn08311|rxn00615|rxn08307|rxn09200|rxn10241|rxn10264|rxn10208|rxn10340|rxn09065|rxn08299|rxn09208|rxn10261|rxn10232|rxn09202|rxn10219|rxn10206|rxn10339|rxn10226|rxn10237|rxn10255|rxn10223|rxn10210|rxn10240|rxn10334|rxn00611|rxn10203|rxn00543|rxn09111|rxn10253|rxn10212|rxn10337|rxn10235|rxn10221|rxn10239|rxn10209|rxn10234|rxn10202|rxn00616|rxn00506|rxn10214|rxn10338|rxn09063|rxn05735|rxn10263|rxn10207|rxn10341|rxn09109|rxn10258|rxn10228|rxn01851|rxn08309|rxn10242|rxn10216|rxn09210|rxn10256|rxn01102|rxn10336|rxn10257|rxn09198|rxn10211|rxn10205|rxn00612|rxn10224|rxn10231|rxn06023|rxn10262|rxn01286|rxn00763|rxn05739|rxn10260|rxn10238|rxn10218|rxn10335|rxn10229|rxn10254|rxn10236|rxn10222|rxn10213|rxn08295|rxn10220|rxn09067|rxn10204	
Alanine_biosynthesis	peg.240|peg.267|peg.464|peg.2754|peg.2962|peg.3274|peg.3860	Branched-chain amino acid aminotransferase (EC 2.6.1.42)|Cysteine desulfurase (EC 2.8.1.7)|Alanine racemase (EC 5.1.1.1)	Amino Acids and Derivatives	"Alanine, serine, and glycine"	rxn01575|rxn00806|rxn00283|rxn00903	
"Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress"	peg.240|peg.957|peg.967|peg.1002|peg.2241|peg.2266|peg.3775|peg.3860	Branched-chain amino acid aminotransferase (EC 2.6.1.42)|Aspartate/tyrosine/aromatic aminotransferase|D-alanine aminotransferase (EC 2.6.1.21)|Phosphoserine aminotransferase (EC 2.6.1.52)|Aspartate aminotransferase (EC 2.6.1.1)|Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)|Histidinol-phosphate aminotransferase (EC 2.6.1.9)	Amino Acids and Derivatives	Aromatic amino acids and derivatives	rxn01575|rxn02339|rxn02914|rxn00806|rxn00260|rxn00527|rxn03445|rxn02320|rxn00903|rxn00493|rxn01270	
Branched-Chain_Amino_Acid_Biosynthesis	peg.240|peg.2183|peg.2193|peg.2412|peg.2828|peg.2829|peg.2830|peg.2831|peg.2832|peg.2833|peg.2834|peg.3860	Branched-chain amino acid aminotransferase (EC 2.6.1.42)|Threonine dehydratase biosynthetic (EC 4.3.1.19)|Dihydroxy-acid dehydratase (EC 4.2.1.9)|Leucine dehydrogenase (EC 1.4.1.9)|3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)|3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)|3-isopropylmalate dehydrogenase (EC 1.1.1.85)|2-isopropylmalate synthase (EC 2.3.3.13)|Ketol-acid reductoisomerase (EC 1.1.1.86)|Acetolactate synthase small subunit (EC 2.2.1.6)|Acetolactate synthase large subunit (EC 2.2.1.6)	Amino Acids and Derivatives	Branched-chain amino acids	rxn00011|rxn01575|rxn02789|rxn00902|rxn08764|rxn03436|rxn01573|rxn00737|rxn03068|rxn02186|rxn00806|rxn00804|rxn03437|rxn01045|rxn00903|rxn02185|rxn03062|rxn09889|rxn03435|rxn02811|rxn03194|rxn00898	
Dehydrogenase_complexes	peg.240|peg.806|peg.807|peg.808|peg.809|peg.810|peg.1025|peg.1458|peg.1460|peg.1461|peg.1462|peg.1463|peg.1574|peg.1611|peg.1612|peg.1941|peg.1942|peg.2407|peg.2408|peg.2409|peg.2410|peg.2412|peg.2414|peg.2457|peg.3211|peg.3396|peg.3770|peg.3860	"Branched-chain amino acid aminotransferase (EC 2.6.1.42)|Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-)|Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-)|Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex (EC 2.3.1.-)|Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)|Transcriptional activator of acetoin dehydrogenase operon AcoR|Lipoate-protein ligase A|Peptide deformylase (EC 3.5.1.88)|Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)|Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)|Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)|Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)|Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)|Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)|Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)|2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)|Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)|Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)|Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)|Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)|Leucine dehydrogenase (EC 1.4.1.9)|Transcriptional regulator BkdR of isoleucine and valine catabolism operon|Cytosol aminopeptidase PepA (EC 3.4.11.1)|Enolase (EC 4.2.1.11)"	Carbohydrates	Central carbohydrate metabolism	rxn00011|rxn01575|rxn02342|rxn07584|rxn00459|rxn01573|rxn00375|rxn07431|rxn00806|rxn07430|rxn00285|rxn07435|rxn00804|rxn01871|rxn01045|rxn07585|rxn00376|rxn00903|rxn01925|rxn07434|rxn00455|rxn07432|rxn06335|rxn06586|rxn01241|rxn07433|rxn01872|rxn00441|rxn09953|rxn02376	
Isoleucine_degradation	peg.240|peg.452|peg.1035|peg.1719|peg.2407|peg.2408|peg.2409|peg.2410|peg.2411|peg.2413|peg.2414|peg.2419|peg.2420|peg.2421|peg.2857|peg.3287|peg.3288|peg.3289|peg.3724|peg.3860	"Branched-chain amino acid aminotransferase (EC 2.6.1.42)|Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)|3-ketoacyl-CoA thiolase (EC 2.3.1.16)|Enoyl-CoA hydratase (EC 4.2.1.17)|Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)|Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)|Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)|Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)|Butyrate kinase (EC 2.7.2.7)|Phosphate butyryltransferase (EC 2.3.1.19)|Transcriptional regulator BkdR of isoleucine and valine catabolism operon|Butyryl-CoA dehydrogenase (EC 1.3.99.2)|3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)|3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16)|Enoyl-CoA hydratase [isoleucine degradation] (EC 4.2.1.17)"	Amino Acids and Derivatives	Branched-chain amino acids	rxn01451|rxn00868|rxn01575|rxn01923|rxn10011|rxn02949|rxn02167|rxn03248|rxn03241|rxn10013|rxn05732|rxn07431|rxn02933|rxn00806|rxn03239|rxn06510|rxn00676|rxn07430|rxn03246|rxn04750|rxn03242|rxn07435|rxn03244|rxn10014|rxn00871|rxn03250|rxn00903|rxn01452|rxn01925|rxn07434|rxn02804|rxn03245|rxn07432|rxn06335|rxn00874|rxn03249|rxn02934|rxn03240|rxn03243|rxn06586|rxn01236|rxn02911|rxn01241|rxn03247|rxn06777|rxn00178|rxn07433|rxn10012|rxn10010|rxn02268|rxn02680	
Leucine_Biosynthesis	peg.240|peg.2828|peg.2829|peg.2830|peg.2831|peg.3860	Branched-chain amino acid aminotransferase (EC 2.6.1.42)|3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)|3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)|3-isopropylmalate dehydrogenase (EC 1.1.1.85)|2-isopropylmalate synthase (EC 2.3.3.13)	Amino Acids and Derivatives	Branched-chain amino acids	rxn01575|rxn02789|rxn00902|rxn00806|rxn00903|rxn03062|rxn02811	
Leucine_Degradation_and_HMG-CoA_Metabolism	peg.240|peg.1717|peg.1824|peg.1825|peg.1826|peg.1827|peg.1828|peg.1830|peg.2407|peg.2408|peg.2409|peg.2410|peg.2412|peg.3860	"Branched-chain amino acid aminotransferase (EC 2.6.1.42)|Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)|Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)|Methylglutaconyl-CoA hydratase (EC 4.2.1.18)|Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)|Biotin carboxyl carrier protein of methylcrotonyl-CoA carboxylase|Biotin carboxylase of methylcrotonyl-CoA carboxylase (EC 6.3.4.14)|Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)|Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)|Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)|Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)|Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)|Leucine dehydrogenase (EC 1.4.1.9)"	Amino Acids and Derivatives	Branched-chain amino acids	rxn01575|rxn01504|rxn01573|rxn07431|rxn00806|rxn02866|rxn07430|rxn07435|rxn00804|rxn01045|rxn00903|rxn01454|rxn02889|rxn01925|rxn07434|rxn07432|rxn06335|rxn00991|rxn06586|rxn01241|rxn07433	
Methionine_Salvage	peg.240|peg.1357|peg.1358|peg.1360|peg.1361|peg.1362|peg.1363|peg.1364|peg.2730|peg.3860	"Branched-chain amino acid aminotransferase (EC 2.6.1.42)|Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)|5-methylthioribose kinase (EC 2.7.1.100)|Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase|2,3-diketo-5-methylthiopentyl-1-phosphate enolase|2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase|Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)|1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)|5'-methylthioadenosine nucleosidase (EC 3.2.2.16)"	Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	rxn05092|rxn01575|rxn00143|rxn00806|rxn05105|rxn05091|rxn00903|rxn05108|rxn01021|rxn05106|rxn02894|rxn05104|rxn03057	
Pyruvate_Alanine_Serine_Interconversions	peg.240|peg.464|peg.562|peg.967|peg.1587|peg.1588|peg.2382|peg.2712|peg.3196|peg.3258|peg.3269|peg.3860	"Branched-chain amino acid aminotransferase (EC 2.6.1.42)|Alanine racemase (EC 5.1.1.1)|D-serine/D-alanine/glycine transporter|D-alanine aminotransferase (EC 2.6.1.21)|L-serine dehydratase, beta subunit (EC 4.3.1.17)|L-serine dehydratase, alpha subunit (EC 4.3.1.17)|D-serine dehydratase (EC 4.3.1.18)|Alanine dehydrogenase (EC 1.4.1.1)|L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)|D-amino acid dehydrogenase small subunit (EC 1.4.99.1)"	Carbohydrates	Central carbohydrate metabolism	rxn01575|rxn00278|rxn00806|rxn05649|rxn05495|rxn00166|rxn00283|rxn00165|rxn00903|rxn05582|rxn00272|rxn00422|rxn05494	
