FUNCTIONAL ROLE	GENE ID	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	peg.653	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	rxn03137|rxn00832
Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	peg.654	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	rxn02895
"transcriptional regulator, AsnC family"	peg.655			
Adenine deaminase (EC 3.5.4.2)	peg.657	Purine_conversions	Nucleosides and Nucleotides	rxn00926
His repressor	peg.659			
Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	peg.660	"Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis|Photorespiration_(oxidative_C2_cycle)"	Amino Acids and Derivatives|Carbohydrates	rxn05760
PcrB-like protein	peg.661			
ATP-dependent DNA helicase UvrD/PcrA	peg.662	"DNA_repair,_bacterial_UvrD_and_related_helicases"	DNA Metabolism	rxn05294
DNA ligase (EC 6.5.1.2)	peg.663	DNA_Repair_Base_Excision|NAD_and_NADP_cofactor_biosynthesis_global|NAD_consumption	"DNA Metabolism|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05294
Putative pheromone cAM373 precursor lipoprotein CamS	peg.664			
putative protein kinase	peg.665			
Peptide transport system permease protein sapB (TC 3.A.1.5.5)	peg.666	ABC_transporter_peptide_(TC_3.A.1.5.5)	Membrane Transport	
Sodium/proline symporter	peg.667			rxn05221
Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.-)	peg.668	Asp-tRNA(Asn)_transamidation	Protein Metabolism	rxn05296
Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.-)	peg.668	Glu-tRNA(Gln)_transamidation	Protein Metabolism	rxn05296
Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.-)	peg.669	Asp-tRNA(Asn)_transamidation	Protein Metabolism	rxn05296
Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.-)	peg.669	Glu-tRNA(Gln)_transamidation	Protein Metabolism	rxn05296
Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.-)	peg.670	Asp-tRNA(Asn)_transamidation	Protein Metabolism	rxn05296
Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.-)	peg.670	Glu-tRNA(Gln)_transamidation	Protein Metabolism	rxn05296
TetR family transcriptional regulator probably coupled to RND multidrug efflux transporter	peg.671			
Swarming motility protein SwrC	peg.672	Bacterial_motility:Gliding	Motility and Chemotaxis	
Transcription regulator [contains diacylglycerol kinase catalytic domain]	peg.673|peg.2404|peg.2997			
"RNA methyltransferase, TrmA family"	peg.674|peg.802			
Site-specific DNA recombinase	peg.675			
"site-specific recombinase, resolvase family"	peg.676|peg.1791			
"FIG045374: Type II restriction enzyme, methylase subunit YeeA"	peg.677			
"FIG006126: DNA helicase, restriction/modification system component YeeB"	peg.678			
YeeC-like protein	peg.679			
"Putative toxin component near putative ESAT-related proteins, repetitive"	peg.682	ESAT-6_proteins_secretion_system_in_Firmicutes	Virulence	
alternate gene name: yeeL	peg.687			
Oxidoreductase	peg.688			
Polypeptide composition of the spore coat	peg.689			
required for the assembly of CotJC	peg.689			
Polypeptide composition of the spore coat protein CotJB	peg.690	Bsub-Spore-Coat	Cell Wall and Capsule	
Polypeptide composition of the spore coat protein CotJC	peg.691	Bsub-Spore-Coat	Cell Wall and Capsule	
YESL protein	peg.694			
two-component response regulator	peg.696|peg.759|peg.830|peg.1327			
"Predicted rhamnose oligosaccharide ABC transport system, substrate-binding component"	peg.697	L-rhamnose_utilization	Carbohydrates	rxn05646|rxn05598|rxn05170
"Predicted rhamnose oligosaccharide ABC transport system, permease component 2"	peg.698	L-rhamnose_utilization	Carbohydrates	rxn05646|rxn05598|rxn05170
"Predicted rhamnose oligosaccharide ABC transport system, permease component"	peg.699	L-rhamnose_utilization	Carbohydrates	rxn05646|rxn05598|rxn05170
Rhamnogalacturonides degradation protein RhiN	peg.700	L-rhamnose_utilization	Carbohydrates	
rhamnogalacturonan acetylesterase	peg.702|peg.707|peg.3917	L-rhamnose_utilization	Carbohydrates	
YESV protein	peg.704			
Predicted rhamnogalacturonan lyase in rhamnose utilization cluster	peg.705|peg.706	L-rhamnose_utilization	Carbohydrates	
Beta-galactosidase (EC 3.2.1.23)	peg.708|peg.3419	Lactose_and_Galactose_Uptake_and_Utilization|Lactose_utilization	Carbohydrates	rxn00816
lipoprotein	peg.710|peg.3019			
"ABC-type polysaccharide transport system, permease component"	peg.711			rxn05646|rxn05598|rxn05170
transmembrane lipoprotein	peg.712|peg.3017			
hydrolytic enzyme	peg.713			
Antibiotic biosynthesis monooxygenase domain-containing protein	peg.715			
regulator of sigma-B	peg.717			
MarR family transcriptional regulatory protein	peg.722			
Salicylate hydroxylase (EC 1.14.13.1)	peg.723	Phenylpropanoid_compound_degradation|Salicylate_ester_degradation	Metabolism of Aromatic Compounds	rxn03906|rxn04745|rxn04724|rxn00589|rxn04748
NADPH-cytochrome P450 reductase	peg.725|peg.2719			
Phosphoglycerol transferase	peg.726|peg.771|peg.2488|peg.3342			
Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)	peg.727	"Acetoin,_butanediol_metabolism|dTDP-rhamnose_synthesis"	Carbohydrates|Cell Wall and Capsule	rxn00702
"Similar to CDP-glucose 4,6-dehydratase (EC 4.2.1.45)"	peg.728	"Acetoin,_butanediol_metabolism"	Carbohydrates	rxn01750
Putative glycosyltransferase	peg.729			
Fosmidomycin resistance protein	peg.732			
5'-nucleotidase yjjG (EC 3.1.3.5)	peg.733			rxn01367|rxn00708|rxn01218|rxn01704|rxn01139|rxn01445|rxn01549|rxn00913|rxn01145|rxn01507|rxn00132|rxn02400|rxn01670|rxn01961|rxn00363|rxn00831
Aldehyde dehydrogenase (EC 1.2.1.3)	peg.735|peg.1936|peg.3801|peg.3888|peg.3991	"Entner-Doudoroff_Pathway|Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria|Methylglyoxal_Metabolism|Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate"	Carbohydrates|Fatty Acids and Lipids	rxn05734|rxn00979|rxn02853|rxn00506|rxn05735|rxn01851|rxn01286
Methyl-accepting chemotaxis protein	peg.736			
COG0488: ATPase components of ABC transporters with duplicated ATPase domains	peg.737	Folate_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
HTH-type transcriptional regulator yfmP	peg.739			
ATP-dependent RNA helicase YfmL	peg.743	"ATP-dependent_RNA_helicases,_bacterial"	RNA Metabolism	
putative oxidoreductase	peg.745|peg.2687			
Macrolide-efflux protein	peg.746|peg.838|peg.1149|peg.1405|peg.3320			
Ferrichrome transport ATP-binding protein FhuC (TC 3.A.1.14.3)	peg.749|peg.3336	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)|Hemin_transport_system|Iron_acquisition_in_Vibrio	Membrane Transport|Virulence	rxn05188|rxn05558|rxn05148
"Heme ABC type transporter HtsABC, permease protein HtsC"	peg.750	"Heme,_hemin_uptake_and_utilization_systems_in_GramPositives"	Virulence	rxn05148
"Heme ABC type transporter HtsABC, permease protein HtsB"	peg.751	"Heme,_hemin_uptake_and_utilization_systems_in_GramPositives"	Virulence	rxn05148
"Heme ABC type transporter HtsABC, heme-binding protein"	peg.752|peg.1033	"Heme,_hemin_uptake_and_utilization_systems_in_GramPositives"	Virulence	rxn05148
pectate lyase	peg.756|peg.1868			
2-oxoglutarate/malate translocator	peg.757	Photorespiration_(oxidative_C2_cycle)	Carbohydrates	rxn05603|rxn05493|rxn05605
Mg(2+) Citrate transporter (TC 2.A.11.1.1)	peg.761	"Citrate_Metabolism,_Transport,_and_Regulation"	Carbohydrates	rxn05214
Nitric oxide synthase oxygenase (EC 1.-.-.-)	peg.763	Pterin_metabolism_3	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00399
"Acylphosphate phosphohydrolase (EC 3.6.1.7), putative"	peg.764	"Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate"	Carbohydrates	rxn01103|rxn00227
Uncharacterized protein conserved in bacteria	peg.765			
YFLH protein	peg.768			
"PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69)"	peg.770	Chitin_and_N-acetylglucosamine_utilization|Sialic_Acid_Metabolism	Carbohydrates|Cell Wall and Capsule	rxn05485
"PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)"	peg.770	Chitin_and_N-acetylglucosamine_utilization|Sialic_Acid_Metabolism	Carbohydrates|Cell Wall and Capsule	rxn05485
Na(+)-linked D-alanine glycine permease	peg.775			rxn10537|rxn05494
Spore germination protein KB	peg.776			
germination protein	peg.778			
"PTS system, trehalose-specific IIB component (EC 2.7.1.69)"	peg.780	Trehalose_Uptake_and_Utilization	Carbohydrates	rxn02005
"PTS system, trehalose-specific IIC component (EC 2.7.1.69)"	peg.780	Trehalose_Uptake_and_Utilization	Carbohydrates	rxn02005
Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	peg.781	Trehalose_Uptake_and_Utilization	Carbohydrates	rxn00606
Trehalose operon transcriptional repressor	peg.782	Trehalose_Uptake_and_Utilization	Carbohydrates	
"2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)"	peg.784	Purine_conversions|pyrimidine_conversions	Nucleosides and Nucleotides	rxn01367|rxn00708|rxn02522|rxn01218|rxn03483|rxn01704|rxn02762|rxn01139|rxn01445|rxn01549|rxn00913|rxn01145|rxn01507|rxn02521|rxn00132|rxn02400|rxn01670|rxn01961|rxn00363|rxn00831
5'-nucleotidase (EC 3.1.3.5)	peg.784|peg.3243	Purine_conversions|pyrimidine_conversions	Nucleosides and Nucleotides	rxn01367|rxn00708|rxn02522|rxn01218|rxn03483|rxn00212|rxn01704|rxn02762|rxn09348|rxn01139|rxn09355|rxn01445|rxn01549|rxn09340|rxn00913|rxn01145|rxn01507|rxn09341|rxn02521|rxn00132|rxn02400|rxn01670|rxn01961|rxn00363|rxn00831
ThiJ/PfpI family protein	peg.785|peg.2705			
transport protein	peg.786|peg.1225			
Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	peg.788|peg.3700	Vibrio_Polysaccharide_(VPS)_Biosynthesis	Virulence	
Ribonuclease BN (EC 3.1.-.-)	peg.790	tRNA_processing	RNA Metabolism	
calcium/proton exchanger	peg.792			rxn05514
Potassium efflux system KefA protein	peg.794|peg.1423			rxn05206
Small-conductance mechanosensitive channel	peg.794|peg.939|peg.1423			rxn05206
3-hydroxyisobutyrate dehydrogenase	peg.799			rxn01480
Magnesium and cobalt transport protein CorA	peg.800	Campylobacter_Iron_Metabolism	Virulence	rxn05616|rxn10474
tRNA dihydrouridine synthase B	peg.803	tRNA_modification_Archaea_Henri	RNA Metabolism	
alternate gene name: yztA	peg.805			
Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-)	peg.806	"Acetoin,_butanediol_metabolism|Dehydrogenase_complexes"	Carbohydrates	rxn09953
Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-)	peg.807	"Acetoin,_butanediol_metabolism|Dehydrogenase_complexes"	Carbohydrates	rxn09953
Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex (EC 2.3.1.-)	peg.808	"Acetoin,_butanediol_metabolism|Dehydrogenase_complexes|Lipoic_acid_metabolism"	"Carbohydrates|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn09953
Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)	peg.809	"Acetoin,_butanediol_metabolism|Dehydrogenase_complexes"	Carbohydrates	rxn09953
Transcriptional activator of acetoin dehydrogenase operon AcoR	peg.810	"Acetoin,_butanediol_metabolism|Dehydrogenase_complexes"	Carbohydrates	
Maltose-6'-phosphate glucosidase (EC 3.2.1.122)	peg.818	Maltose_and_Maltodextrin_Utilization|Trehalose_Uptake_and_Utilization	Carbohydrates	rxn00607
"PTS system, maltose and glucose-specific IIB component (EC 2.7.1.69)"	peg.820	Maltose_and_Maltodextrin_Utilization	Carbohydrates	rxn05226|rxn05607
"PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)"	peg.820	Maltose_and_Maltodextrin_Utilization	Carbohydrates	rxn05226|rxn05607
Multidrug resistance ABC transporter ATP-binding and permease protein	peg.821|peg.822|peg.868|peg.3488	Multidrug_Resistance_Efflux_Pumps	Virulence	
L-rhamnose operon transcriptional activator rhaR	peg.825	L-rhamnose_utilization	Carbohydrates	
probable sugar transport protein	peg.826			
Oxidoreductase (EC 1.1.1.-)	peg.828|peg.3359			
putative two-component system sensor kinase	peg.829|peg.3895			
putative ABC transporter (ATP-binding protein)	peg.833|peg.3333			
alternate gene name: yfiP	peg.835			
YFIQ protein	peg.836			
"Chain A, Crystal Structure Of Yfir, A Putative Transcriptional Regulator From Bacillus Subtilis"	peg.837			
"drug resistance transporter, EmrB/QacA family"	peg.840|peg.3293|peg.3527			
"Iron(III) dicitrate transport system, periplasmic iron-binding protein FecB (TC 3.A.1.14.1)"	peg.844	ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)|Vibrioferrin_synthesis	Membrane Transport|Virulence	rxn05557
Iron(III) dicitrate transport system permease protein fecD (TC 3.A.1.14.1)	peg.845|peg.846	ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)	Membrane Transport	rxn05557
Phenazine biosynthesis protein PhzF	peg.847	Phenazine_biosynthesis	Secondary Metabolism	
nitroreductase family protein	peg.848			
Cell division inhibitor	peg.851			
Regulatory protein recX	peg.852			
Transcription regulator CDS_ID OB0894	peg.853			
Conserved protein YfhJ	peg.855			
YFHK protein	peg.856|peg.3604			
Epoxide hydrolase (EC 3.3.2.9)	peg.858			rxn04821|rxn04834|rxn04820|rxn04885
stress response protein	peg.859			
A/G-specific adenine glycosylase (EC 3.2.2.-)	peg.862	"DNA_repair,_bacterial"	DNA Metabolism	
YfhS protein	peg.863			
Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)	peg.864	Fatty_Acid_Biosynthesis_FASII	Fatty Acids and Lipids	rxn05357|rxn05391|rxn05412|rxn05370|rxn05428|rxn05354|rxn05378|rxn05387|rxn05463|rxn05374|rxn05424|rxn05416|rxn05352|rxn05432|rxn05399|rxn05403|rxn05420|rxn05356|rxn05351|rxn05362|rxn05355|rxn05382|rxn05366|rxn05395|rxn05407|rxn05353
"Small acid-soluble spore protein, gamma-type SASP"	peg.865	Small_acid-soluble_spore_proteins	Dormancy and Sporulation	
Cysteinyl-tRNA synthetase related protein	peg.867			
"lipoprotein, putative"	peg.869|peg.1459|peg.1482			
Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	peg.870|peg.2815	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01629
"Thiol peroxidase, Bcp-type (EC 1.11.1.15)"	peg.871			
"Peroxide stress regulator PerR, FUR family"	peg.872	Oxidative_stress	Stress Response	
CDS_ID OB0907	peg.874			
Peptidase E (EC 3.4.11.2)	peg.877			
Thiamin biosynthesis protein ThiC	peg.878	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02305
FAD-linked oxidoreductase family	peg.879|peg.3458			
"positive regulation of extracellular enzyme genes (amyE, aprE, nprE)"	peg.880			
Catalase (EC 1.11.1.6)	peg.881|peg.3868|peg.3910	Oxidative_stress|Photorespiration_(oxidative_C2_cycle)|Protection_from_Reactive_Oxygen_Species	Stress Response|Carbohydrates	rxn00006
Alkanesulfonates ABC transporter ATP-binding protein	peg.882	Alkanesulfonate_assimilation|Alkanesulfonates_Utilization	Sulfur Metabolism	rxn05621|rxn05594|rxn05656|rxn05552|rxn05599|rxn05512|rxn05585|rxn05620|rxn05172
Alkanesulfonates-binding protein	peg.883	Alkanesulfonate_assimilation|Alkanesulfonates_Utilization	Sulfur Metabolism	rxn05621|rxn05594|rxn05656|rxn05552|rxn05599|rxn05512|rxn05585|rxn05620|rxn05172
Alkanesulfonates transport system permease protein	peg.884	Alkanesulfonate_assimilation|Alkanesulfonates_Utilization	Sulfur Metabolism	rxn05621|rxn05594|rxn05656|rxn05552|rxn05599|rxn05512|rxn05585|rxn05620|rxn05172
Alkanesulfonate monooxygenase (EC 1.14.14.5)	peg.885	Alkanesulfonate_assimilation|Alkanesulfonates_Utilization	Sulfur Metabolism	rxn08471|rxn10067|rxn08468|rxn05737|rxn08467|rxn08469|rxn08470
Predicted transcriptional regulator	peg.889			
Iron-sulfur cluster-binding protein	peg.891			
Methylase homolog	peg.892|peg.894|peg.895			
tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)	peg.893	tRNA_modification_Bacteria	RNA Metabolism	rxn05295
YgaT-like protein	peg.896			
serine protein kinase	peg.897			
Glycosyltransferase (EC 2.4.1.-)	peg.898|peg.2250			
YHBI protein	peg.899			
Multidrug resistance protein [function not yet clear]	peg.900	"Multidrug_Resistance,_2-protein_version_Found_in_Gram-positive_bacteria"	Virulence	
Membrane component of multidrug resistance system	peg.901	"Multidrug_Resistance,_2-protein_version_Found_in_Gram-positive_bacteria"	Virulence	
Cold shock protein CspD	peg.910	"Cold_shock,_CspA_family_of_proteins"	Stress Response	
Methionine ABC transporter substrate-binding protein	peg.911|peg.3278	Methionine_Biosynthesis|Methionine_Degradation|Staphylococcal_pathogenicity_islands_SaPI	Amino Acids and Derivatives|Virulence	rxn05219|rxn05183
Proton/sodium-glutamate symport protein	peg.913			rxn05298
Lipoprotein yhcN precursor	peg.915			
Endonuclease yhcR precursor (EC 3.1.31.-)	peg.919			
"Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YhcT type"	peg.921	Ribosome_biogenesis_bacterial|rRNA_modification_Bacteria	Protein Metabolism|RNA Metabolism	
"hydrolase, haloacid dehalogenase-like family"	peg.924|peg.1114|peg.3592|peg.3636			
Carbon-nitrogen hydrolase	peg.925|peg.1396			
Probable aminotransferase (EC 2.6.-.-)	peg.926			
Glycerol uptake operon antiterminator regulatory protein	peg.927	Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization	Carbohydrates	
Glycerol uptake facilitator protein	peg.928	"Dihydroxyacetone_kinases|Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization|Glycerol_fermenation_to_1,3-propanediol|Osmoregulation"	Carbohydrates|Fatty Acids and Lipids|Stress Response	rxn05581
Glycerol kinase (EC 2.7.1.30)	peg.929	Dihydroxyacetone_kinases|Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization|Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria|MLST	Carbohydrates|Fatty Acids and Lipids|Virulence	rxn00615
Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.99.5)	peg.930	Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization|Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria|Respiratory_dehydrogenases_1	Carbohydrates|Fatty Acids and Lipids|Respiration	rxn00616|rxn05739
Phosphomannomutase (EC 5.4.2.8)	peg.931	Alginate_metabolism|Mannose_Metabolism|Perosamine_Synthesis_Vibrio	Cell Wall and Capsule|Carbohydrates	rxn01329
Azoreductase	peg.934			
Invasion associated protein p60	peg.937|peg.1946|peg.3486			
Nitrite-sensitive transcriptional repressor NsrR	peg.938	Oxidative_stress|Rrf2_family_transcriptional_regulators	Stress Response|RNA Metabolism	
Stage V sporulation protein involved in spore cortex synthesis (SpoVR)	peg.940			
cell wall lytic activity	peg.942			
negative regulation of the citrate synthase I gene (citA)	peg.943			
Citrate synthase (si) (EC 2.3.3.1)	peg.944|peg.2917	Glyoxylate_Synthesis|Glyoxylate_bypass|Serine-glyoxylate_cycle|TCA_Cycle	Carbohydrates	rxn00256
sodium-dependent transporter	peg.947|peg.1939			
Sigma-M negative effector	peg.951			rxn05295
"RNA polymerase sigma-70 factor, ECF subfamily"	peg.952			
putative aldo/keto reductase	peg.953			
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	peg.954	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids and Lipids	rxn10215|rxn10217|rxn10219|rxn10212|rxn10214|rxn10216|rxn10211|rxn10218|rxn10213
Hemolysins and related proteins containing CBS domains	peg.955|peg.959|peg.2479|peg.2663|peg.3133			
HTH-type transcriptional regulator cueR	peg.956			
Aspartate/tyrosine/aromatic aminotransferase	peg.957	"Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress"	Amino Acids and Derivatives	rxn00260|rxn00527|rxn00493
Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	peg.962	Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization	Carbohydrates	rxn01073|rxn08669|rxn00758
"ABC-type amino acid transport system, permease component yhdY"	peg.964			
NAD-dependent protein deacetylase of SIR2 family	peg.965	"NAD_and_NADP_cofactor_biosynthesis_global|NAD_consumption|Protein_Acetylation_and_Deacetylation_in_Bacteria|Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate|Redox-dependent_regulation_of_nucleus_processes"	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Protein Metabolism|Carbohydrates|Stress Response"	
Peptidoglycan N-acetylglucosamine deacetylase (EC 3.5.1.-)	peg.966			
D-alanine aminotransferase (EC 2.6.1.21)	peg.967	"Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress|Pyruvate_Alanine_Serine_Interconversions"	Amino Acids and Derivatives|Carbohydrates	
Na+/H+ antiporter NhaC	peg.968			
Stress response protein nhaX	peg.969			
"ABC transporter, ATP-binding/permease protein"	peg.971|peg.972|peg.1434|peg.1435			
"oxidoreductase, putative"	peg.973			
"Small acid-soluble spore protein, beta-type SASP"	peg.975|peg.1999|peg.2960	Small_acid-soluble_spore_proteins	Dormancy and Sporulation	
DUF445 domain-containing transmembrane protein	peg.979			
DNA alkylation repair enzyme	peg.981			
"Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)"	peg.984	Heme_and_Siroheme_Biosynthesis|YgfZ	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn04704
sodium/hydrogen exchanger family protein	peg.985			
trkA domain protein	peg.986			
enoyl-CoA hydratase/isomerase family protein	peg.988			
"ABC transporter, permease protein (putative)"	peg.990			
DNA repair exonuclease family protein YhaO	peg.991	"DNA_repair,_bacterial"	DNA Metabolism	
DNA double-strand break repair rad50 ATPase	peg.992	Rad50-Mre11::SbcD-SbcC_DNA_Repair_Module	DNA Metabolism	
CMP-binding factor	peg.993			
"negative regulation of sporulation and extracellular proteases genes (aprE, nprE, sin)"	peg.999			
Substrate-specific component TrpP of tryptophan ECF transporter	peg.1001			rxn05663
Phosphoserine aminotransferase (EC 2.6.1.52)	peg.1002	"Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress|Glycine_and_Serine_Utilization|Pyridoxin_(Vitamin_B6)_Biosynthesis|Serine_Biosynthesis"	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02914|rxn03445
cell-cycle regulation (inhibition of cell division)	peg.1003			
regulates both components of the protein secretion apparatus and transcription of secretory proteins	peg.1004|peg.1005			
"alternate gene name: prsT, yhaB"	peg.1006			
N-acyl-L-amino acid amidohydrolase (EC 3.5.1.14)	peg.1007			rxn00469
"Uncharacterized protein, homolog of B.subtilis yhgC"	peg.1010			
Penicillin-binding protein 1F (PBP-1F)	peg.1011			
Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	peg.1012	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02288
"Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)"	peg.1013	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00224
"Protoporphyrinogen IX oxidase, aerobic (EC 1.3.3.4)"	peg.1014	Heme_and_Siroheme_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02304
Phage infection protein	peg.1016			
3-oxoacyl-[acyl-carrier-protein] synthase III (EC 2.3.1.41)	peg.1017			rxn05460|rxn05413|rxn05348|rxn05346|rxn05344|rxn05350|rxn05349|rxn05396|rxn05363|rxn05388|rxn05429|rxn05359|rxn05367|rxn05417|rxn05371|rxn05347|rxn05400|rxn05425|rxn05421|rxn05392|rxn05409|rxn05404|rxn05375|rxn05345|rxn05379|rxn05384|rxn05343
Deblocking aminopeptidase (EC 3.4.11.-)	peg.1020	Protein_degradation	Protein Metabolism	
Sodium/glutamate symport protein	peg.1022			rxn05298|rxn05297
Metal-dependent hydrolase (EC 3.-.-.-)	peg.1024			
Lipoate-protein ligase A	peg.1025|peg.2457|peg.3770	Dehydrogenase_complexes|Glycine_cleavage_system|Lipoic_acid_metabolism	"Carbohydrates|Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn07584|rxn07585
oxidoreductase ylbE	peg.1026			
"peptidase, M48 family"	peg.1029			
serine alkaline protease (subtilisin E)	peg.1030			
Alcohol dehydrogenase (EC 1.1.1.1)	peg.1032|peg.1847|peg.2704	Fermentations:_Lactate|Fermentations:_Mixed_acid|Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Carbohydrates|Fatty Acids and Lipids	rxn00543|rxn00763
Predicted broad substrate specificity phosphatase	peg.1034			
3-ketoacyl-CoA thiolase (EC 2.3.1.16)	peg.1035|peg.3288	Biotin_biosynthesis|Isoleucine_degradation|Serine-glyoxylate_cycle|n-Phenylalkanoic_acid_degradation	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Amino Acids and Derivatives|Carbohydrates|Metabolism of Aromatic Compounds"	rxn03248|rxn06510|rxn00676|rxn02804|rxn00874|rxn03243|rxn00178|rxn02680
Acetyl-CoA acetyltransferase (EC 2.3.1.9)	peg.1035|peg.3288	Acetyl-CoA_fermentation_to_Butyrate|Anaerobic_benzoate_metabolism|Archaeal_lipids|Butanol_Biosynthesis|Glyoxylate_bypass|Isoprenoid_Biosynthesis|MLST|Mevalonate_Branch_of_Isoprenoid_Biosynthesis	"Carbohydrates|Metabolism of Aromatic Compounds|Fatty Acids and Lipids|Cofactors, Vitamins, Prosthetic Groups, Pigments|Virulence"	rxn03248|rxn06510|rxn00676|rxn02804|rxn00874|rxn03243|rxn00178|rxn02680
Substrate-specific component BioY of biotin ECF transporter	peg.1037|peg.3209	Biotin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05223
oxidoreductase	peg.1039			
activation of the expression of late competence genes involved in DNA-binding and uptake and in recombination	peg.1042			
final autoregulatory control switch prior to competence development	peg.1042			
Na+/solute symporter	peg.1045|peg.1962			
Alkaline phosphatase like protein	peg.1048			
Oxygenase	peg.1050			
Glucose/mannose:H+ symporter GlcP	peg.1052	Trehalose_Uptake_and_Utilization	Carbohydrates	rxn05611|rxn05573
NTD biosynthesis operon putative oxidoreductase NtdC (EC 1.-.-.-)	peg.1053	Neotrehalosadiamine_(NTD)_Biosynthesis_Operon	Carbohydrates	
NTD biosynthesis operon putative hydrolase NtdB (EC 3.-.-.-)	peg.1054	Neotrehalosadiamine_(NTD)_Biosynthesis_Operon	Carbohydrates	
NTD biosynthesis operon protein NtdA	peg.1055	Neotrehalosadiamine_(NTD)_Biosynthesis_Operon	Carbohydrates	
NTD biosynthesis operon regulator NtdR	peg.1056	Neotrehalosadiamine_(NTD)_Biosynthesis_Operon	Carbohydrates	
Putative ammonia monooxygenase	peg.1057			
